lemma;tags;ordklasse
affældig;fyo;A
afgudisk;NA;A
afmægtig;NA;A
afsindig;NA;A
afspændig;NA;A
agtbar;NA;A
alene;NA;A
alvældig;NA;A
angelegen;NA;A
balstyrig;NA;A
balstyrisk;NA;A
bange;NA;A
barmhjertig;rel;A
bedragelig;NA;A
bedrøvelig;NA;A
bedrøvet;NA;A
befangen;NA;A
befrynden;NA;A
begribelig;NA;A
begærlig;NA;A
behagelig;mercury;A
behjælpelig;NA;A
behændig;fyo;A
behørig;NA;A
behørlig;NA;A
behøvelig;NA;A
behøvig;NA;A
bekendt;anchor;A
beklemmende;psy;A
beklemt;psy;A
bekvem;hav;A
bekvemmelig;NA;A
belejlig;NA;A
beleven;NA;A
beredt;NA;A
besat;NA;A
beskaffen;NA;A
beskeden;NA;A
beskedenlig;NA;A
beskidt;"hyg;kri";A
beslægtet;music;A
beslægtiget;NA;A
bestandig;NA;A
besynderlig;NA;A
betrængt;soc;A
betuttet;psy;A
betænkelig;NA;A
bevant;NA;A
bevislig;NA;A
bevægelig;NA;A
bevågen;NA;A
billig;"øko;sex";A
bister;psy;A
bisterlig;NA;A
bitter;NA;A
bitterlig;NA;A
blank;"opt;fsk;typ;mil";A
blot;NA;A
bodfærdig;rel;A
bold;NA;A
brak;NA;A
brækkelig;NA;A
brøstfældig;ark;A
bursk;NA;A
børlig;NA;A
datlig;NA;A
dejlig;NA;A
delagtig;NA;A
djærv;NA;A
djævelsk;NA;A
dobbelt;"comet;music;swords;anchor";A
dol;NA;A
drabelig;NA;A
driftig;NA;A
drikfældig;drk;A
dristelig;NA;A
dristig;NA;A
dru;NA;A
drøvelig;NA;A
dumkøn;NA;A
dval;NA;A
dvas;NA;A
dygtig;NA;A
dyrebar;NA;A
dyrelig;NA;A
dyster;NA;A
dåragtig;NA;A
dårlig;NA;A
edsvoren;NA;A
effen;NA;A
egentlig;NA;A
elende;NA;A
elendig;"fyo;psy";A
endelig;"music;swords";A
endig;NA;A
endrægtig;NA;A
enig;NA;A
enkel;NA;A
enlig;NA;A
ens;NA;A
even;anchor;A
evig;NA;A
FALSK;NA;A
falskelig;NA;A
fangen;NA;A
farlig;spo;A
fersk;"mad;nat;psy";A
flak;gel;A
flamsk;NA;A
flittig;NA;A
flunkende;NA;A
flygtig;kem;A
forbistret;NA;A
forblommet;NA;A
forborgen;NA;A
forborget;NA;A
fordelagtig;NA;A
forderlig;NA;A
fordrukken;drk;A
fordækt;"swords;spades";A
fordærvelig;NA;A
forfaren;NA;A
forfløjen;psy;A
forfærdelig;NA;A
forgiftig;NA;A
forgylden;NA;A
forgængelig;NA;A
forhånlig;NA;A
forkert;NA;A
forkommen;NA;A
forleden;NA;A
forlegen;NA;A
forloren;gas;A
formastelig;NA;A
formodentlig;NA;A
fornem;NA;A
fornemmelig;NA;A
fornuftig;NA;A
fornumstig;NA;A
fornøden;NA;A
forpligtig;NA;A
forpustet;NA;A
forrest;NA;A
forrædelig;NA;A
forrådig;NA;A
forsigtig;NA;A
forskammet;NA;A
forskrækkelig;NA;A
forslagen;NA;A
forsmædelig;psy;A
forstandelig;NA;A
forstandig;NA;A
forstokket;NA;A
forstændelig;NA;A
forsætlig;NA;A
fortrydelig;NA;A
fortrædelig;NA;A
fortræden;NA;A
fortræffelig;NA;A
fortusket;NA;A
fortænkelig;NA;A
fortørnet;psy;A
forvant;NA;A
forvorpen;NA;A
forvoven;NA;A
fransøsk;NA;A
frejdig;NA;A
fremmed;NA;A
fri;NA;A
frilig;NA;A
frimodig;NA;A
fripostig;NA;A
frisk;anchor;A
fro;NA;A
from;rel;A
frommelig;NA;A
frugtbar;"lan;bio";A
frugtsommelig;sex;A
frygtelig;NA;A
fryntlig;NA;A
frådsig;NA;A
fugtig;"hyg;byg;met";A
fuldkommelig;NA;A
fuldkommen;NA;A
fuldmægtig;NA;A
fuldstændig;NA;A
fundig;NA;A
fyndig;"spr;psy";A
fyrig;NA;A
fyrstelig;NA;A
fældig;NA;A
færdig;swords;A
føje;NA;A
følgagtig;NA;A
