lemma;tags
abbedi;NA
abinde;NA
adre;NA
advent;NA
afbede;comet
afbigt;NA
afbræk;NA
afbud;NA
affinde;NA
affældig;fyo
affærdige;NA
afgrund;NA
afgud;NA
afguderi;NA
afgudisk;NA
afgunst;NA
afgaa;"swords;anchor"
afhandle;NA
afhandling;NA
afhude;NA
afjage;NA
afkorte;"wheel;swords"
aflad;rel
aflade;NA
afmagt;comet
afmane;NA
afmægtig;NA
afperse;NA
afside;NA
afsindig;NA
afsked;erh
afskede;NA
afsnitte;NA
afsondre;NA
afspændig;NA
afstille;wheel
afstaa;NA
aftinge;NA
aftræd;NA
agerum;flower
agt;mil
agtbar;NA
agte;NA
agter;søf
agterstand;NA
agtertanke;NA
-agtig;NA
agting;NA
agtning;NA
ajle;NA
ak;NA
akeleje;flower
al;NA
alant;flower
alderdom;NA
aldermand;NA
alene;NA
allerede;NA
alligevel;NA
allike;NA
almisse;rel
alrune;flower
alsted;NA
altid;NA
alting;spr
alun;NA
alvor;psy
alvældig;NA
ambolt;"sme;ana"
amdam;NA
ame;NA
ample;NA
amt;oad
an;"swords;mercury"
andagteligen;NA
andel;scl
andeputte;NA
andrage;comet
andrik;zoo
andvord;NA
ane;fam
anfald;"med;psy"
anfalde;NA
anfare;NA
anfægte;NA
angang;NA
angel;"comet;wheel"
angelegen;NA
angest;NA
angive;NA
angreb;wheel
angribe;NA
angst;NA
angælde;NA
angaa;NA
anhang;NA
anholde;NA
anhær;NA
anke;NA
anker;"anchor;wheel"
anklage;jur
ankomme;trf
ankomst;trf
anlange;NA
anligge;anchor
anlægge;"byg;jur"
anløbe;wheel
anmasse;NA
anmode;NA
anmærke;NA
annamme;NA
anpart;NA
anrette;NA
anrigter;NA
anrøre;NA
anråbe;rel
anraabe;swords
anse;NA
ansige;NA
ansigt;ana
anskrig;kom
anslag;"msk;rad"
anslaa;NA
anstand;jur
anstikke;NA
anstille;NA
anstød;"rel;sex"
anstøde;NA
anstå;NA
anstaa;NA
ansætte;"erh;øko"
ansøge;kom
antal;NA
antaste;NA
antræd;NA
antræde;swords
antvorde;NA
anverper;wheel
anvise;kom
arbejde;"erh;fys;hån"
arge;NA
ark;NA
arkeli;"swords;anchor"
armbrøst;våb
armod;øko
armtøj;NA
aron;NA
art;bio
arvesaat;NA
avnbøg;bot
bagvaske;NA
baj;mercury
bakke;bol
bakkelse;NA
baldre;NA
baldrian;flower
balg;våb
balje;bol
ball;NA
ballast;"tra;psy;jer;søf"
ballaste;anchor
balle;"wheel;mercury"
balstyrig;NA
balstyrisk;NA
bane;"trf;spo;nat;fri;jer"
bange;NA
banner;swords
-bar;NA
barat;NA
barber;frs
barde;zoo
bardus;NA
bare;NA
barfred;NA
bark;NA
barker;NA
barmhjertig;rel
barnefod;NA
barnsten;NA
bars;zoo
barse;NA
bart;NA
bastert;NA
basun;music
bavse;NA
be-;NA
bean;NA
bebinde;NA
bebreve;NA
bebude;kom
bed;NA
bede;zoo
bedrag;NA
bedrage;"kri;sex"
bedragelig;NA
bedre;NA
bedrift;"erh;lan"
bedring;NA
bedrive;"pol;vid"
bedryppe;NA
bedrøve;NA
bedrøvelig;NA
bedrøvelse;NA
bedrøvet;NA
bedække;NA
bedåre;psy
bedaare;NA
befal;NA
befalde;NA
befale;"kom;mil"
befaling;swords
befangen;NA
befatte;NA
befinde;NA
befrede;NA
befri;NA
befrygte;NA
befrynden;NA
befryse;NA
befænge;hel
befæste;swords
befæstige;NA
beg;kem
begabe;NA
bege;NA
begifte;NA
begive;"mercury;anchor"
begrave;NA
begreb;fil
begribe;NA
begribelig;NA
begræde;NA
begynde;erh
begyndelse;NA
begynder;NA
begængelse;NA
begær;psy
begære;jur
begæring;NA
begærlig;NA
begå;kri
begaa;comet
behag;psy
behage;NA
behagelig;mercury
behandle;NA
behjælp;NA
behjælpe;NA
behjælpelig;NA
behold;red
beholde;NA
behov;NA
behude;NA
behugge;wheel
behuse;NA
behytte;NA
behæfte;NA
behægte;NA
behænde;NA
behændig;fyo
behør;NA
behøre;NA
behørig;NA
behørlig;NA
behøve;NA
behøvelig;NA
behøvig;NA
bejage;NA
bejle;comet
bejtel;wheel
bekende;"rel;spi"
bekendelse;NA
bekendt;anchor
bekere;NA
beklaffe;NA
beklage;kom
beklemme;NA
beklemmelse;psy
beklemmende;psy
beklemt;psy
beklæde;NA
beknibe;anchor
bekomme;NA
bekoste;NA
bekostning;NA
bekrybe;NA
bekræfte;"kom;jur;psy"
bekvem;hav
bekvemme;NA
bekvemmelig;NA
bekymmer;comet
bekymre;psy
bekymring;NA
bekyndige;NA
bekøbe;NA
belade;NA
belag;NA
belange;NA
belaste;"øko;fys"
bele;NA
belejlig;NA
belejre;mil
belemre;NA
beleve;NA
beleven;NA
beligge;NA
belob;NA
belove;NA
belykke;NA
belyve;NA
belægge;"swords;anchor"
belære;NA
beløbe;NA
belønne;NA
bemande;anchor
bemantle;NA
bemure;NA
bemægtige;NA
bemøde;NA
bemøje;NA
benove;NA
benægte;NA
benøje;NA
benåde;kri
benaade;NA
beordre;scl
beplante;NA
bepligte;NA
beram;NA
beramme;jur
berede;"kom;psy"
beredt;NA
berende;"swords;comet"
berette;kom
berggesel;NA
berggeselle;NA
beride;NA
berige;øko
beringe;"swords;comet"
berme;swords
bernsten;NA
bertram;flower
berygte;NA
berøm;comet
berømme;NA
berøre;"fyo;psy;kom"
berøve;"kri;psy"
beråbe;kom
beraabe;NA
beraad;NA
beraade;NA
besat;NA
bese;NA
besegle;NA
besejle;søf
besidde;NA
besige;NA
besigtige;NA
besinde;NA
beskadige;mercury
beskaffe;NA
beskaffen;NA
beskanse;NA
beskatte;ska
besked;"kom;edb"
beskeden;NA
beskedenlig;NA
beskide;NA
beskidt;"hyg;kri"
beskikke;"oad;jur"
beskrive;kom
beskudding;NA
beskue;NA
beskyde;våb
beskyt;NA
beskytte;jur
beskænke;nyd
beskære;"øko;bot;fot"
beskærme;NA
beslag;NA
beslutte;NA
beslægtet;music
beslægtiget;NA
beslå;sme
beslaa;anchor
besmitte;"rel;sex"
besnilde;NA
besolde;NA
bespare;NA
bespejde;NA
bespise;gas
bespy;NA
bespænde;swords
bespørge;NA
bestand;NA
bestandig;NA
bestede;comet
bestemme;anchor
bestige;zoo
bestikke;jur
bestille;erh
bestilling;NA
bestolde;NA
bestride;"jur;erh;øko"
bestrikke;NA
bestryge;mil
bestyre;NA
bestaa;NA
besvige;NA
besvime;fyo
besvær;comet
besvære;NA
besværge;rel
besynderlig;NA
besætte;"mil;pol;rel"
besøge;NA
besøle;NA
besørge;zoo
betage;psy
