"";"lemma";"tags";"ordklasse"
"1";"abbedi";NA;"S"
"2";"abinde";NA;"S"
"3";"advent";NA;"S"
"4";"afbigt";NA;"S"
"5";"afbræk";NA;"S"
"6";"afbud";NA;"S"
"7";"afgrund";NA;"S"
"8";"afgud";NA;"S"
"9";"afguderi";NA;"S"
"10";"afgunst";NA;"S"
"11";"afhandling";NA;"S"
"12";"aflad";"rel";"S"
"13";"afmagt";"comet";"S"
"14";"afsked";"erh";"S"
"15";"aftræd";NA;"S"
"16";"agerum";"flower";"S"
"17";"agt";"mil";"S"
"18";"agter";"søf";"S"
"19";"agterstand";NA;"S"
"20";"agtertanke";NA;"S"
"21";"agting";NA;"S"
"22";"agtning";NA;"S"
"23";"akeleje";"flower";"S"
"24";"alant";"flower";"S"
"25";"alderdom";NA;"S"
"26";"aldermand";NA;"S"
"27";"allike";NA;"S"
"28";"almisse";"rel";"S"
"29";"alrune";"flower";"S"
"30";"alun";NA;"S"
"31";"alvor";"psy";"S"
"32";"ambolt";"sme;ana";"S"
"33";"amdam";NA;"S"
"34";"ame";NA;"S"
"35";"amt";"oad";"S"
"36";"andel";"scl";"S"
"37";"andeputte";NA;"S"
"38";"andrik";"zoo";"S"
"39";"andvord";NA;"S"
"40";"ane";"fam";"S"
"41";"anfald";"med;psy";"S"
"42";"angang";NA;"S"
"43";"angel";"comet;wheel";"S"
"44";"angreb";"wheel";"S"
"45";"angst";NA;"S"
"46";"anhang";NA;"S"
"47";"anhær";NA;"S"
"48";"anker";"anchor;wheel";"S"
"49";"ankomst";"trf";"S"
"50";"anpart";NA;"S"
"51";"anrigter";NA;"S"
"52";"ansigt";"ana";"S"
"53";"anskrig";"kom";"S"
"54";"anslag";"msk;rad";"S"
"55";"anstand";"jur";"S"
"56";"anstød";"rel;sex";"S"
"57";"antal";NA;"S"
"58";"antræd";NA;"S"
"59";"anverper";"wheel";"S"
"60";"arbejde";"erh;fys;hån";"S"
"61";"ark";NA;"S"
"62";"arkeli";"swords;anchor";"S"
"63";"armbrøst";"våb";"S"
"64";"armod";"øko";"S"
"65";"armtøj";NA;"S"
"66";"aron";NA;"S"
"67";"art";"bio";"S"
"68";"arvesåt";NA;"S"
"69";"avnbøg";"bot";"S"
"70";"baj";"mercury";"S"
"71";"bakke";"bol";"S"
"72";"bakkelse";NA;"S"
"73";"baldrian";"flower";"S"
"74";"balg";"våb";"S"
"75";"balje";"bol";"S"
"76";"ballast";"tra;psy;jer;søf";"S"
"77";"balle";"wheel;mercury";"S"
"78";"bane";"trf;spo;nat;fri;jer";"S"
"79";"banner";"swords";"S"
"80";"barat";NA;"S"
"81";"barber";"frs";"S"
"82";"barde";"zoo";"S"
"83";"barfred";NA;"S"
"84";"bark";NA;"S"
"85";"barker";NA;"S"
"86";"barnefod";NA;"S"
"87";"barnsten";NA;"S"
"88";"bars";"zoo";"S"
"89";"barse";NA;"S"
"90";"bart";NA;"S"
"91";"bastert";NA;"S"
"92";"basun";"music";"S"
"93";"bean";NA;"S"
"94";"bed";NA;"S"
"95";"bede";"zoo";"S"
"96";"bedrag";NA;"S"
"97";"bedrift";"erh;lan";"S"
"98";"bedring";NA;"S"
"99";"bedrøvelse";NA;"S"
"100";"befal";NA;"S"
"101";"befaling";"swords";"S"
"102";"beg";"kem";"S"
"103";"begreb";"fil";"S"
"104";"begyndelse";NA;"S"
"105";"begynder";NA;"S"
"106";"begængelse";NA;"S"
"107";"begær";"psy";"S"
"108";"begæring";NA;"S"
"109";"behag";"psy";"S"
"110";"behjælp";NA;"S"
"111";"behold";"red";"S"
"112";"behov";NA;"S"
"113";"behør";NA;"S"
"114";"bejtel";"wheel";"S"
"115";"bekendelse";NA;"S"
"116";"beklemmelse";"psy";"S"
"117";"bekymmer";"comet";"S"
"118";"bekymring";NA;"S"
"119";"belag";NA;"S"
"120";"belob";NA;"S"
"121";"beram";NA;"S"
"122";"berggeselle";NA;"S"
"123";"berme";"swords";"S"
"124";"bernsten";NA;"S"
"125";"bertram";"flower";"S"
"126";"berøm";"comet";"S"
"127";"beråd";NA;"S"
"128";"besked";"kom;edb";"S"
"129";"beskudding";NA;"S"
"130";"beskyt";NA;"S"
"131";"beslag";NA;"S"
"132";"bestand";NA;"S"
"133";"bestilling";NA;"S"
"134";"besvær";"comet";"S"
"135";"betryk";NA;"S"
"136";"bevilling";NA;"S"
"137";"bibel";NA;"S"
"138";"bigat";"anchor";"S"
"139";"bigtpenge";NA;"S"
"140";"bikke";"wheel";"S"
"141";"bikkel";NA;"S"
"142";"bil";"wheel;anchor";"S"
"143";"billede";"spades";"S"
"144";"bindike";NA;"S"
"145";"bindsel";"anchor";"S"
"146";"bindt";NA;"S"
"147";"bindøkse";"wheel";"S"
"148";"birk";NA;"S"
"149";"bislag";"ark";"S"
"150";"bislopperske";NA;"S"
"151";"bismer";"fsk";"S"
"152";"bismervægt";"fsk";"S"
"153";"bistand";"soc";"S"
"154";"bit";NA;"S"
"155";"bitte";"mål";"S"
"156";"bles";NA;"S"
"157";"blide";NA;"S"
"158";"blik";"mtl";"S"
"159";"blik";NA;"S"
"160";"blixen";NA;"S"
"161";"blok";"gel;hån;byg;pap;pol;frm;tek";"S"
"162";"blomme";"bot";"S"
"163";"blus";"anchor";"S"
"164";"bly";NA;"S"
"165";"blyant";NA;"S"
"166";"blyglætte";NA;"S"
"167";"blæne";"med";"S"
"168";"blænker";"mil";"S"
"169";"boble";NA;"S"
"170";"bog";"bot";"S"
"171";"bogfinke";"zoo";"S"
"172";"boghvede";"bot";"S"
"173";"bol";NA;"S"
"174";"bole";"sex";"S"
"175";"bolskab";NA;"S"
"176";"bolt";"anchor";"S"
"177";"bolt";"HÅN";"S"
"178";"bolværk";"hvn";"S"
"179";"bom";"trf;spo;ski";"S"
"180";"bommesi";NA;"S"
"181";"bomolie";NA;"S"
"182";"bomuld";NA;"S"
"183";"bopæl";NA;"S"
"184";"borg";NA;"S"
"185";"borgeleje";"comet";"S"
"186";"borger";NA;"S"
"187";"borgerskab";"anchor";"S"
"188";"borgerske";NA;"S"
"189";"borgmester";"pol;oad";"S"
"190";"bort";NA;"S"
"191";"boulevard";"trf";"S"
"192";"boveri";NA;"S"
"193";"bovspryd";"ski";"S"
"194";"brad";NA;"S"
"195";"bradbænk";"anchor";"S"
"196";"bradspid";NA;"S"
