"";"lemma";"tags";"ordklasse"
"1";"baj";"BEK";"S"
"2";"barat";"BEK";"S"
"3";"blyant";"BEK";"S"
"4";"bommesi";"BEK";"S"
"5";"bomuld";"BEK";"S"
"6";"bræmme";"BEK";"S"
"7";"bukse";"BEK";"S"
"8";"bylt";"BEK";"S"
"9";"damask";"BEK";"S"
"10";"dialesalve";"BEK";"S"
"11";"dise";"BEK";"S"
"12";"dolslag";"BEK";"S"
"13";"dragt";"BEK";"S"
"14";"fikke";"BEK";"S"
"15";"floksilke";"BEK";"S"
"16";"flos";"BEK";"S"
"17";"fløjl";"BEK";"S"
"18";"forspan";"BEK";"S"
"19";"gjordel";"BEK";"S"
"20";"handske";"BEK";"S"
"21";"hermelin";"BEK";"S"
"22";"hylle";"BEK";"S"
"23";"hyllike";"BEK";"S"
"24";"isben";"BEK";"S"
"25";"jakke";"BEK";"S"
"26";"kammerdug";"BEK";"S"
"27";"kappe";"BEK";"S"
"28";"kapperøllike";"BEK";"S"
"29";"kaprun";"BEK";"S"
"30";"kedelhat";"BEK";"S"
"31";"kipper";"BEK";"S"
"32";"kirsej";"BEK";"S"
"33";"klods";"BEK";"S"
"34";"krave";"BEK;DYR";"S"
"35";"krone";"BEK";"S"
"36";"kruse";"BEK";"S"
"37";"krølle";"KRO;BEK";"S"
"38";"las";"BEK";"S"
"39";"mumme";"BEK";"S"
"40";"natelrem";"BEK";"S"
"41";"næsedug";"BEK";"S"
"42";"paltsrok";"BEK";"S"
"43";"panser";"BEK;MIL;HÅN";"S"
"44";"pantoffel";"BEK";"S"
"45";"parkem";"BEK";"S"
"46";"patine";"BEK";"S"
"47";"peklin";"BEK";"S"
"48";"peld";"BEK";"S"
"49";"pels";"DYR;BEK";"S"
"50";"pitserring";"BEK";"S"
"51";"pjalt";"BEK;FØL";"S"
"52";"polamit";"BEK";"S"
"53";"pometekens";"BEK";"S"
"54";"pudder";"VER;BEK;GAS";"S"
"55";"puld";"BEK";"S"
"56";"pykke";"BEK";"S"
"57";"pynt";"HAN;BEK";"S"
"58";"ransel";"BEK;SØF";"S"
"59";"rindsel";"BEK";"S"
"60";"rodset";"BEK";"S"
"61";"rok";"BEK";"S"
"62";"rotværk";"BEK";"S"
"63";"sadden";"BEK";"S"
"64";"samarie";"BEK;REL";"S"
"65";"sardug";"BEK";"S"
"66";"sir";"BEK";"S"
"67";"sirat";"BEK";"S"
"68";"siring";"BEK";"S"
"69";"skar";"BEK";"S"
"70";"skarlagen";"BEK;HÅN";"S"
"71";"skjorte";"BEK";"S"
"72";"skramme";"KRO;BEK";"S"
"73";"skyr";"BEK";"S"
"74";"skærbækken";"BEK";"S"
"75";"skørt";"BEK";"S"
"76";"skørtedug";"BEK";"S"
"77";"slæb";"HAN;SØF;BEK";"S"
"78";"sløjer";"BEK";"S"
"79";"slør";"BEK";"S"
"80";"smide";"BEK";"S"
"81";"smitte";"KRO;BEK";"S"
"82";"sok";"BEK";"S"
"83";"span";"BEK";"S"
"84";"spang";"HÅN;BEK";"S"
"85";"spidshat";"BEK;BIO";"S"
"86";"stads";"HAN;BEK;FØL";"S"
"87";"stammet";"BEK";"S"
"88";"stevel";"BEK";"S"
"89";"stretsko";"BEK";"S"
"90";"strimmel";"KRO;BEK;HÅN";"S"
"91";"strippe";"BEK";"S"
"92";"strømpe";"BEK";"S"
"93";"stukke";"BEK";"S"
"94";"støvle";"BEK";"S"
"95";"suben";"BEK";"S"
"96";"svans";"BEK;DYR";"S"
"97";"sæbe";"BEK";"S"
"98";"søpig";"BEK;SØF";"S"
"99";"tabin";"BEK";"S"
"100";"taske";"BEK";"S"
"101";"tirumtej";"BEK";"S"
"102";"tribalt";"BEK";"S"
"103";"trip";"BEK";"S"
"104";"trøje";"BEK";"S"
"105";"tøffel";"BEK";"S"
"106";"tøj";"HÅN;MIL;HUS;BEK";"S"
"107";"vams";"BEK";"S"
"108";"venneke";"BEK";"S"
"109";"vindelsnor";"BEK";"S"
"110";"vindfang";"HÅN;SØF;VER;HUS;BEK";"S"
"111";"æreklæder";"BEK";"S"
