"";"lemma";"tags";"ordklasse"
"1";"agterstand";"BES";"S"
"2";"andel";"BES";"S"
"3";"andvord";"BES";"S"
"4";"anpart";"BES";"S"
"5";"armod";"BES";"S"
"6";"bedrag";"BES";"S"
"7";"bedrift";"BES";"S"
"8";"bigtpenge";"BES";"S"
"9";"bismer";"BES";"S"
"10";"bismervægt";"BES";"S"
"11";"borg";"BES";"S"
"12";"dollar";"BES";"S"
"13";"dressel";"BES";"S"
"14";"firk";"BES";"S"
"15";"forkøb";"BES";"S"
"16";"forlag";"BES";"S"
"17";"forlis";"BES";"S"
"18";"forlisning";"BES";"S"
"19";"forlust";"BES";"S"
"20";"formue";"BES";"S"
"21";"formuenhed";"BES";"S"
"22";"forprang";"BES";"S"
"23";"forråd";"BES";"S"
"24";"forskud";"HÅN;BES";"S"
"25";"fortjeneste";"BES";"S"
"26";"foræring";"BES";"S"
"27";"fyldest";"JUR;BES";"S"
"28";"gave";"BES";"S"
"29";"gebyr";"BES";"S"
"30";"gerrighed";"BES";"S"
"31";"geråd";"BES";"S"
"32";"geskænk";"BES";"S"
"33";"gylden";"BES";"S"
"34";"hovedstol";"BES";"S"
"35";"hyre";"BES;SØF";"S"
"36";"indkomst";"BES";"S"
"37";"klipping";"DYR;BES";"S"
"38";"korn";"BES";"S"
"39";"kvittebrev";"BES";"S"
"40";"købslag";"BES";"S"
"41";"lening";"BES";"S"
"42";"livgeding";"BES";"S"
"43";"mark";"BES";"S"
"44";"medgift";"BES";"S"
"45";"middel";"BES;SAM;RUM";"S"
"46";"mønt";"BES";"S"
"47";"nobel";"BES";"S"
"48";"ort";"BES;KVA";"S"
"49";"overløb";"BES";"S"
"50";"overslag";"HAN;BES";"S"
"51";"pak";"BES";"S"
"52";"pakkenelliker";"BES";"S"
"53";"penningebræde";"BES";"S"
"54";"pens";"BES";"S"
"55";"pension";"BES";"S"
"56";"plukgæld";"BES";"S"
"57";"portugaløs";"BES";"S"
"58";"postelats";"BES";"S"
"59";"pragt";"HAN;BES;FØL";"S"
"60";"prange";"HAN;BES;SAM";"S"
"61";"pris";"FØL;BES";"S"
"62";"pundert";"BES";"S"
"63";"ranson";"BES";"S"
"64";"ransoning";"BES";"S"
"65";"regnskab";"BES";"S"
"66";"remp";"KRO;BES";"S"
"67";"rente";"BES";"S"
"68";"rettighed";"JUR;BES";"S"
"69";"rode";"BES;KVA";"S"
"70";"rosennobel";"BES";"S"
"71";"rov";"HAN;BES";"S"
"72";"samkøb";"BES";"S"
"73";"seddel";"BES;SAM";"S"
"74";"sise";"BES";"S"
"75";"skat";"BES;SAM";"S"
"76";"skilling";"BES";"S"
"77";"skot";"BES";"S"
"78";"skyldner";"BES";"S"
"79";"skærv";"BES;HAN";"S"
"80";"slagskat";"BES";"S"
"81";"sold";"BES";"S"
"82";"solding";"BES";"S"
"83";"stabel";"RUM;HÅN;BES";"S"
"84";"stabelgods";"BES";"S"
"85";"stikpenge";"BES";"S"
"86";"stok";"BES";"S"
"87";"styr";"BES";"S"
"88";"styver";"BES";"S"
"89";"støder";"BES";"S"
"90";"støtte";"HÅN;BES";"S"
"91";"sum";"KVA;BES";"S"
"92";"svinepenninge";"BES";"S"
"93";"søsling";"BES";"S"
"94";"tappegæld";"BES";"S"
"95";"tidepenge";"BES";"S"
"96";"tilgift";"BES";"S"
"97";"tims";"BES";"S"
"98";"tolder";"BES";"S"
"99";"tresur";"HUS;BES";"S"
"100";"trilling";"BES";"S"
"101";"tusk";"BES";"S"
"102";"tærling";"BES";"S"
"103";"udgift";"HAN;BES";"S"
"104";"underpant";"BES";"S"
"105";"undgeld";"BES";"S"
"106";"vagtpenge";"BES";"S"
"107";"vandel";"BES;HAN";"S"
"108";"vare";"GAS;BES";"S"
"109";"vederlag";"BES";"S"
"110";"veksel";"HAN;BES;VER";"S"
"111";"velfart";"FØL;BES;GAS;KOG";"S"
"112";"velstand";"BES";"S"
"113";"vinterlag";"SØF;BES";"S"
"114";"vraggods";"BES";"S"
"115";"væd";"HAN;BES";"S"
"116";"væddeskat";"BES";"S"
"117";"vægt";"KVA;BES";"S"
"118";"være";"BES";"S"
"119";"værge";"MIL;BES";"S"
