"";"lemma";"tags";"ordklasse"
"1";"bane";"BEV";"S"
"2";"bør";"BEV";"S"
"3";"dragesele";"BEV";"S"
"4";"fart";"BEV";"S"
"5";"fortgang";"BEV";"S"
"6";"gangvogn";"BEV";"S"
"7";"gelejdsmand";"BEV";"S"
"8";"hast";"BEV";"S"
"9";"henfart";"BEV;REL";"S"
"10";"huj";"BEV";"S"
"11";"il";"BEV";"S"
"12";"indpas";"BEV";"S"
"13";"karre";"BEV";"S"
"14";"nyk";"BEV";"S"
"15";"pas";"SAM;BEV";"S"
"16";"passager";"BEV";"S"
"17";"passionerer";"BEV";"S"
"18";"rejse";"HAN;BEV;MIL";"S"
"19";"retning";"HAN;BEV";"S"
"20";"rosbåre";"BEV";"S"
"21";"røre";"HAN;BEV";"S"
"22";"skridt";"KRO;BEV";"S"
"23";"skubkarre";"BEV";"S"
"24";"sluffe";"BEV";"S"
"25";"slæde";"BEV";"S"
"26";"spil";"BEV;HAN;SAM";"S"
"27";"spærvogn";"BEV";"S"
"28";"stensluffe";"BEV";"S"
"29";"styrmand";"SØF;BEV";"S"
"30";"styrte";"BEV";"S"
"31";"støjt";"BEV";"S"
"32";"sus";"VER;BEV";"S"
"33";"tog";"BEV";"S"
"34";"trav";"BEV";"S"
"35";"udflugt";"BEV";"S"
"36";"udtog";"HAN;BEV";"S"
"37";"undergang";"BEV;HAN;SØF;VER";"S"
"38";"underslag";"BEV;HAN;HÅN";"S"
"39";"valning";"BEV";"S"
"40";"vandring";"HAN;BEV";"S"
"41";"vederspring";"HAN;BEV";"S"
"42";"vogndriver";"BEV";"S"
