"";"lemma";"tags";"ordklasse"
"1";"abinde";"FAU";"S"
"2";"allike";"FAU";"S"
"3";"andrik";"FAU";"S"
"4";"art";"FAU";"S"
"5";"bars";"FAU";"S"
"6";"bles";"FAU";"S"
"7";"bogfinke";"FAU";"S"
"8";"brasen";"FAU";"S"
"9";"brokfugl";"FAU";"S"
"10";"brosme";"FAU";"S"
"11";"bytte";"FAU";"S"
"12";"bæst";"FAU";"S"
"13";"bæver";"FAU";"S"
"14";"bævergejl";"FAU";"S"
"15";"bøffel";"FAU";"S"
"16";"desmer";"FAU";"S"
"17";"desmerdyr";"FAU";"S"
"18";"dobbe";"FAU";"S"
"19";"dromedar";"FAU";"S"
"20";"drone";"FAU";"S"
"21";"drossel";"FAU";"S"
"22";"durik";"FAU";"S"
"23";"falk";"FAU";"S"
"24";"falkeleje";"FAU";"S"
"25";"falkoner";"FAU";"S"
"26";"fangst";"FAU";"S"
"27";"finke";"FAU";"S"
"28";"finne";"FAU";"S"
"29";"finne";"FAU";"S"
"30";"fjældfras";"FAU";"S"
"31";"flagermus";"FAU";"S"
"32";"flagspætte";"FAU";"S"
"33";"fløj";"FAU;MIL;SAM";"S"
"34";"fold";"FAU";"S"
"35";"fritte";"FAU";"S"
"36";"grib";"FAU";"S"
"37";"grævling";"FAU";"S"
"38";"grønirisk";"FAU";"S"
"39";"grønsvær";"FAU";"S"
"40";"gåseørn";"FAU";"S"
"41";"hingst";"FAU";"S"
"42";"hundestejle";"FAU";"S"
"43";"hungertitte";"FAU";"S"
"44";"hvalrav";"FAU";"S"
"45";"hvalspæk";"FAU";"S"
"46";"hvilling";"FAU";"S"
"47";"hønnike";"FAU";"S"
"48";"høns";"FAU";"S"
"49";"høved";"FAU";"S"
"50";"igle";"FAU";"S"
"51";"ilder";"FAU";"S"
"52";"inddrift";"FAU";"S"
"53";"irisk";"FAU";"S"
"54";"kalkun";"FAU";"S"
"55";"kanin";"FAU";"S"
"56";"kapun";"FAU";"S"
"57";"karpe";"FAU";"S"
"58";"karusse";"FAU";"S"
"59";"kindbakke";"FAU;KRO;SØF";"S"
"60";"kleppert";"FAU;SAM";"S"
"61";"klipping";"FAU;BES";"S"
"62";"klov";"FAU";"S"
"63";"kode";"FAU";"S"
"64";"krave";"BEK;FAU";"S"
"65";"krop";"FAU";"S"
"66";"krybbe";"FAU";"S"
"67";"kråse";"FAU";"S"
"68";"kule";"FAU";"S"
"69";"kuller";"FAU;KRO";"S"
"70";"kvabbe";"FAU;SØF";"S"
"71";"kvikstjært";"FAU";"S"
"72";"kvæg";"FAU";"S"
"73";"køje";"FAU;HUS";"S"
"74";"køter";"FAU";"S"
"75";"kå";"FAU";"S"
"76";"ledehund";"FAU";"S"
"77";"limstang";"FAU";"S"
"78";"los";"FAU";"S"
"79";"lubbe";"FAU";"S"
"80";"løffel";"HÅN;FAU";"S"
"81";"maddike";"FAU";"S"
"82";"malle";"FAU";"S"
"83";"mang";"FAU";"S"
"84";"manse";"FAU";"S"
"85";"marekat";"FAU";"S"
"86";"mink";"FAU";"S"
"87";"missemav";"FAU";"S"
"88";"mitte";"FAU";"S"
"89";"moderløs";"FAU;FLO";"S"
"90";"musling";"FAU";"S"
"91";"mussel";"FAU";"S"
"92";"mæfikke";"FAU";"S"
"93";"nattergal";"FAU";"S"
"94";"negenøje";"FAU";"S"
"95";"nest";"FAU";"S"
"96";"næb";"FAU";"S"
"97";"oldentorre";"FAU";"S"
"98";"ore";"FAU";"S"
"99";"padde";"FAU";"S"
"100";"papegøje";"FAU";"S"
"101";"parder";"FAU";"S"
"102";"pels";"FAU;BEK";"S"
"103";"pert";"FAU";"S"
"104";"piber";"MUS;SØF;FAU";"S"
"105";"pote";"FAU";"S"
"106";"pukkel";"VER;FAU;KRO";"S"
"107";"ringeldue";"FAU";"S"
"108";"rokke";"FAU";"S"
"109";"rokkel";"FAU";"S"
"110";"ros";"FAU";"S"
"111";"rotte";"FAU";"S"
"112";"rottekrudt";"FAU";"S"
"113";"rugfoder";"FAU";"S"
"114";"ruse";"FAU";"S"
"115";"rympling";"FAU";"S"
"116";"rækel";"FAU";"S"
"117";"rørdrum";"FAU";"S"
"118";"råge";"FAU";"S"
"119";"sabel";"FAU";"S"
"120";"sandart";"FAU";"S"
"121";"sisik";"FAU";"S"
"122";"skab";"FAU";"S"
"123";"skal";"FAU";"S"
"124";"skildpadde";"FAU";"S"
"125";"skimling";"FAU";"S"
"126";"skimmel";"FAU";"S"
"127";"skuffel";"HUS;FAU";"S"
"128";"skulde";"FAU";"S"
"129";"skuller";"FAU";"S"
