"";"lemma";"tags";"ordklasse"
"1";"agerum";"FLO";"S"
"2";"akeleje";"FLO";"S"
"3";"alant";"FLO";"S"
"4";"alrune";"FLO";"S"
"5";"aron";"FLO";"S"
"6";"avnbøg";"FLO";"S"
"7";"baldrian";"FLO";"S"
"8";"bark";"FLO";"S"
"9";"bede";"FLO";"S"
"10";"bertram";"FLO";"S"
"11";"blomme";"FLO";"S"
"12";"bog";"FLO";"S"
"13";"boghvede";"FLO";"S"
"14";"bram";"FLO";"S"
"15";"bregne";"FLO";"S"
"16";"brombær";"FLO";"S"
"17";"buddike";"FLO";"S"
"18";"buksbom";"FLO";"S"
"19";"daddel";"FLO";"S"
"20";"desmerurt";"FLO";"S"
"21";"elm";"FLO";"S"
"22";"enhjørning";"FLO";"S"
"23";"fanke";"FLO";"S"
"24";"fennikel";"FLO";"S"
"25";"figen";"FLO";"S"
"26";"frugt";"FLO";"S"
"27";"galgant";"FLO";"S"
"28";"galle";"FLO;KRO;HÅN";"S"
"29";"gederams";"FLO";"S"
"30";"gemyse";"FLO";"S"
"31";"gifttyde";"FLO";"S"
"32";"grut";"VER;FLO";"S"
"33";"græskar";"FLO";"S"
"34";"græsspire";"FLO";"S"
"35";"grøde";"FLO;KRO";"S"
"36";"gylle";"FLO";"S"
"37";"gær";"FLO";"S"
"38";"hakkelse";"FLO";"S"
"39";"hamp";"FLO";"S"
"40";"harpiks";"FLO";"S"
"41";"harrild";"FLO";"S"
"42";"hartkorn";"FLO";"S"
"43";"harts";"FLO";"S"
"44";"has";"FLO";"S"
"45";"heggel";"FLO";"S"
"46";"hegle";"FLO";"S"
"47";"hirse";"FLO";"S"
"48";"hulurt";"FLO";"S"
"49";"ingefær";"FLO";"S"
"50";"isop";"FLO";"S"
"51";"jordrøg";"FLO";"S"
"52";"jærnurt";"FLO";"S"
"53";"karse";"FLO";"S"
"54";"kim";"FLO";"S"
"55";"kin";"FLO";"S"
"56";"kirsebær";"FLO";"S"
"57";"klat";"FLO";"S"
