"";"lemma";"tags";"ordklasse"
"1";"afgunst";"FØL";"S"
"2";"afmagt";"FØL";"S"
"3";"angst";"FØL";"S"
"4";"bedrøvelse";"FØL";"S"
"5";"bekymmer";"FØL";"S"
"6";"bekymring";"FØL";"S"
"7";"bras";"FØL";"S"
"8";"brask";"FØL";"S"
"9";"brøde";"FØL";"S"
"10";"drøvelse";"FØL";"S"
"11";"elende";"FØL";"S"
"12";"es";"FØL";"S"
"13";"fare";"FØL";"S"
"14";"farlighed";"FØL";"S"
"15";"foragt";"FØL";"S"
"16";"fornuft";"FØL";"S"
"17";"forsmag";"FØL";"S"
"18";"forsmædelse";"FØL";"S"
"19";"fortræd";"FØL";"S"
"20";"frygt";"FØL";"S"
"21";"fyrighed";"FØL";"S"
"22";"ganning";"FØL";"S"
"23";"gefald";"FØL;HAN";"S"
"24";"gunst";"FØL";"S"
"25";"herlighed";"FØL";"S"
"26";"hovmod";"FØL";"S"
"27";"huld";"FØL";"S"
"28";"håb";"FØL";"S"
"29";"hån";"FØL";"S"
"30";"hånhed";"FØL";"S"
"31";"iver";"FØL";"S"
"32";"jammer";"FØL";"S"
"33";"jammerdal";"FØL";"S"
"34";"knibe";"HÅN;FØL";"S"
"35";"kummer";"FØL";"S"
"36";"kvalm";"VER;FØL";"S"
"37";"lak";"FØL";"S"
"38";"last";"SØF;FØL";"S"
"39";"love";"FØL";"S"
"40";"lune";"FØL";"S"
"41";"lykke";"REL;FØL";"S"
"42";"lykkehjul";"FØL";"S"
"43";"lyksalighed";"FØL";"S"
"44";"mag";"FØL";"S"
"45";"medlidenhed";"FØL";"S"
"46";"mishag";"FØL";"S"
"47";"møje";"FØL";"S"
"48";"nid";"FØL";"S"
"49";"overdåd";"FØL";"S"
"50";"overmod";"FØL";"S"
"51";"passion";"REL;FØL";"S"
"52";"perikel";"FØL";"S"
"53";"pinelighed";"FØL";"S"
"54";"pjalt";"BEK;FØL";"S"
"55";"plage";"FØL";"S"
"56";"pligt";"SAM;FØL";"S"
"57";"pragt";"HAN;BES;FØL";"S"
"58";"pris";"FØL;BES";"S"
"59";"rakkeri";"HAN;FØL";"S"
"60";"ruelse";"FØL";"S"
"61";"rygte";"SPR;FØL";"S"
"62";"sade";"FØL";"S"
"63";"sagtmod";"FØL";"S"
"64";"sikkerhed";"FØL;HAN";"S"
"65";"sind";"FØL;KOG";"S"
"66";"sinkadusen";"FØL";"S"
"67";"sjæl";"KRO;FØL;KOG";"S"
"68";"skand";"FØL";"S"
"69";"skemp";"FØL";"S"
"70";"skidt";"KRO;FØL";"S"
"71";"skik";"KOG;FØL";"S"
"72";"sky";"FØL";"S"
"73";"slemhed";"FØL";"S"
"74";"smærte";"FØL;KRO;SAN";"S"
"75";"småhed";"KVA;FØL";"S"
"76";"spe";"HAN;FØL";"S"
"77";"stads";"HAN;BEK;FØL";"S"
"78";"stampe";"HAN;FØL";"S"
"79";"stolthed";"FØL";"S"
"80";"stød";"HAN;FØL;TID";"S"
"81";"surseende";"HAN;FØL";"S"
"82";"synest";"FØL";"S"
"83";"tant";"HUS;HAN;SPR;FØL";"S"
"84";"terighed";"FØL";"S"
"85";"trods";"FØL";"S"
"86";"trøst";"SPR;FØL";"S"
"87";"tugt";"HAN;FØL";"S"
"88";"tugtighed";"FØL";"S"
"89";"tvivlmod";"FØL";"S"
"90";"tykke";"FØL";"S"
"91";"ubeskedenhed";"FØL";"S"
"92";"uhyre";"SAM;FØL";"S"
"93";"ulykke";"FØL;HAN;REL";"S"
"94";"ulyst";"FØL";"S"
"95";"unåde";"FØL";"S"
"96";"uskyld";"FØL;JUR";"S"
"97";"uskyldighed";"FØL;JUR";"S"
"98";"utugt";"FØL;JUR";"S"
"99";"uvilje";"KOG;FØL";"S"
"100";"vanmagt";"FØL";"S"
"101";"vantro";"FØL;REL";"S"
"102";"ve";"FØL;KRO";"S"
"103";"vedermod";"FØL";"S"
"104";"vederstand";"FØL";"S"
"105";"vedervilje";"FØL";"S"
"106";"vedervordighed";"FØL";"S"
"107";"velbefald";"FØL";"S"
"108";"velfart";"FØL;BES;GAS;KOG";"S"
"109";"velgefald";"FØL";"S"
"110";"vellyst";"FØL";"S"
"111";"vemod";"FØL";"S"
"112";"vemodighed";"FØL";"S"
"113";"vilkår";"FØL;JUR";"S"
"114";"vis";"HAN;FØL";"S"
"115";"vrag";"HAN;FØL";"S"
"116";"vrede";"FØL";"S"
"117";"værde";"FØL;HAN";"S"
"118";"ædelhed";"FØL";"S"
"119";"ædling";"SAM;FØL";"S"
"120";"ærbarhed";"FØL";"S"
"121";"ære";"FØL;SAM";"S"
"122";"ærlighed";"FØL;HAN";"S"
"123";"ønske";"FØL;HAN;KOG";"S"
