"";"lemma";"tags";"ordklasse"
"1";"amdam";"GAS";"S"
"2";"anrigter";"GAS";"S"
"3";"bakkelse";"GAS";"S"
"4";"bastert";"GAS";"S"
"5";"bomolie";"GAS";"S"
"6";"brad";"GAS";"S"
"7";"bradspid";"GAS";"S"
"8";"bry";"GAS";"S"
"9";"brændevin";"GAS";"S"
"10";"brødsukker";"GAS";"S"
"11";"dru";"GAS";"S"
"12";"dvaledrik";"GAS";"S"
"13";"eddike";"GAS";"S"
"14";"fedtegrever";"GAS";"S"
"15";"fetalje";"GAS";"S"
"16";"finkeljokum";"GAS";"S"
"17";"finker";"GAS";"S"
"18";"forgift";"GAS";"S"
"19";"frokost";"GAS";"S"
"20";"gaffel";"GAS;MIL;SØF;HÅN";"S"
"21";"glas";"HÅN;GAS;SØF";"S"
"22";"grever";"GAS";"S"
"23";"groffenbrad";"GAS";"S"
"24";"hedevig";"GAS";"S"
"25";"hippokras";"GAS";"S"
"26";"humpel";"GAS;SØF";"S"
"27";"husblas";"GAS";"S"
"28";"ister";"GAS";"S"
"29";"kallun";"GAS";"S"
"30";"kalvedans";"GAS";"S"
"31";"kanel";"GAS";"S"
"32";"karve";"GAS";"S"
"33";"kavent";"GAS";"S"
"34";"klaret";"GAS";"S"
"35";"klejne";"GAS";"S"
"36";"kok";"GAS";"S"
"37";"koldskål";"GAS";"S"
"38";"kommen";"GAS";"S"
"39";"kost";"GAS";"S"
"40";"kro";"GAS";"S"
"41";"krumkage";"GAS";"S"
"42";"krumme";"GAS";"S"
"43";"krydde";"GAS";"S"
"44";"krydder";"GAS";"S"
"45";"krydderbrød";"GAS";"S"
"46";"krydderi";"GAS";"S"
"47";"kuvert";"HUS;GAS";"S"
"48";"lage";"GAS";"S"
"49";"lejle";"GAS";"S"
"50";"lov";"GAS";"S"
"51";"matjessild";"GAS";"S"
"52";"medister";"GAS";"S"
"53";"medisterpølse";"GAS";"S"
"54";"morsel";"GAS";"S"
"55";"mos";"GAS";"S"
"56";"most";"GAS";"S"
"57";"mæsk";"GAS";"S"
"58";"måltid";"GAS";"S"
"59";"nellike";"GAS";"S"
"60";"oliebrødkage";"GAS";"S"
"61";"ovnbrød";"GAS";"S"
"62";"pap";"GAS";"S"
"63";"pikkelhering";"GAS";"S"
"64";"pilar";"HÅN;GAS";"S"
"65";"pojte";"GAS";"S"
"66";"pors";"BIO;GAS";"S"
"67";"posteg";"GAS";"S"
"68";"proviant";"GAS";"S"
"69";"proviantbrød";"GAS";"S"
"70";"pryssing";"GAS";"S"
"71";"pudder";"VER;BEK;GAS";"S"
"72";"pudderbysse";"GAS";"S"
"73";"rebbenspær";"GAS";"S"
"74";"rejnfald";"GAS";"S"
"75";"ret";"GAS";"S"
"76";"retterbænk";"GAS;JUR";"S"
"77";"rind";"GAS";"S"
"78";"rist";"GAS;HUS";"S"
"79";"rosin";"GAS";"S"
"80";"rumeni";"GAS";"S"
"81";"rummeldøs";"GAS";"S"
"82";"salse";"GAS";"S"
"83";"simle";"GAS";"S"
"84";"skalk";"GAS;HÅN";""
"85";"skink";"GAS";"S"
"86";"skinke";"GAS";"S"
"87";"skive";"GAS;HÅN;SØF;HUS";"S"
"88";"skonrog";"GAS;SØF";"S"
"89";"skråtobak";"GAS";"S"
"90";"skutilsvend";"GAS";"S"
"91";"skænkeøl";"GAS";"S"
"92";"slat";"GAS;KVA";"S"
"93";"smag";"GAS;SAN";"S"
"94";"smolt";"GAS";"S"
"95";"smør";"GAS";"S"
"96";"snaskeri";"GAS";"S"
"97";"sole";"GAS";"S"
"98";"sopken";"HAN;GAS";"S"
"99";"spage";"SØF;GAS";"S"
"100";"spareribs";"GAS";"S"
"101";"speceri";"GAS";"S"
"102";"spid";"GAS;HÅN;MIL";"S"
"103";"spidseri";"GAS";"S"
"104";"spise";"GAS";"S"
"105";"spord";"GAS";"S"
"106";"sprot";"GAS";"S"
"107";"sprutte";"HUS;DYR;GAS";"S"
"108";"spund";"HÅN;GAS";"S"
"109";"spøl";"HUS;GAS";"S"
"110";"stivelse";"GAS;SAN";"S"
"111";"støvmel";"GAS";"S"
"112";"suben";"GAS";"S"
"113";"sukker";"GAS";"S"
"114";"suppe";"GAS";"S"
"115";"sylte";"GAS";"S"
"116";"taffel";"GAS";"S"
"117";"talg";"GAS";"S"
"118";"titling";"GAS";"S"
"119";"tolast";"GAS";"S"
"120";"tost";"GAS";"S"
"121";"tran";"GAS";"S"
"122";"tvebak";"GAS";"S"
"123";"vandbakkelse";"GAS";"S"
"124";"vare";"GAS;BES";"S"
"125";"velfart";"FØL;BES;GAS;KOG";"S"
"126";"vermut";"BIO;GAS";"S"
"127";"vestfaler";"VER;GAS";"S"
"128";"vildbrad";"MIL;GAS";"S"
"129";"vinlag";"GAS";"S"
"130";"vægge";"GAS";"S"
"131";"vælling";"GAS";"S"
