"";"lemma";"tags";"ordklasse"
"1";"afbræk";"HAN";"S"
"2";"aftræd";"HAN";"S"
"3";"angang";"HAN";"S"
"4";"ankomst";"HAN";"S"
"5";"anskrig";"HAN";"S"
"6";"anslag";"HAN";"S"
"7";"anstød";"HAN";"S"
"8";"begyndelse";"HAN";"S"
"9";"begængelse";"HAN";"S"
"10";"behjælp";"HAN";"S"
"11";"blik";"HAN";"S"
"12";"boveri";"HAN";"S"
"13";"brist";"HAN";"S"
"14";"bræk";"HAN";"S"
"15";"bulder";"HAN";"S"
"16";"bule";"HAN";"S"
"17";"bægt";"HAN";"S"
"18";"bære";"HAN";"S"
"19";"både";"HAN";"S"
"20";"dat";"HAN";"S"
"21";"drukkenskab";"HAN";"S"
"22";"drunk";"HAN";"S"
"23";"dryp";"HAN";"S"
"24";"dødslag";"HAN";"S"
"25";"eventyr";"HAN";"S"
"26";"façon";"HAN";"S"
"27";"fagte";"HAN";"S"
"28";"fals";"HAN";"S"
"29";"falsk";"HAN";"S"
"30";"fejl";"HAN";"S"
"31";"fjas";"HAN";"S"
"32";"fjæs";"HAN";"S"
"33";"flid";"HAN";"S"
"34";"flåd";"HAN";"S"
"35";"forbud";"HAN";"S"
"36";"fordel";"HAN";"S"
"37";"fordærv";"HAN";"S"
"38";"forehavende";"HAN";"S"
"39";"forfald";"HAN";"S"
"40";"forfang";"HAN";"S"
"41";"forkering";"HAN;SAM";"S"
"42";"forram";"HAN";"S"
"43";"forsigtighed";"HAN";"S"
"44";"forspøg";"HAN";"S"
"45";"forsæt";"HAN";"S"
"46";"fortog";"HAN";"S"
"47";"fortrin";"HAN";"S"
"48";"fortøgering";"HAN";"S"
"49";"forvar";"HAN";"S"
"50";"forvorpenhed";"HAN";"S"
"51";"fråds";"HAN";"S"
"52";"fund";"HAN";"S"
"53";"gebærd";"HAN";"S"
"54";"gefald";"FØL;HAN";"S"
"55";"gelegenhed";"HAN";"S"
"56";"geskæft";"HAN";"S"
"57";"gækkeri";"HAN";"S"
"58";"gøgelspil";"HAN";"S"
"59";"gøgl";"HAN";"S"
"60";"handel";"HAN";"S"
"61";"handling";"HAN";"S"
"62";"hoffart";"HAN";"S"
"63";"hoffærd";"HAN";"S"
"64";"hoffærdighed";"HAN";"S"
"65";"hold";"HAN";"S"
"66";"husk";"HAN";"S"
"67";"hæg";"HAN";"S"
"68";"indtog";"HAN";"S"
"69";"indtrang";"HAN";"S"
"70";"kamp";"HAN";"S"
"71";"kans";"KOG;HAN";"S"
"72";"kiv";"HAN";"S"
"73";"klank";"HAN";"S"
"74";"kneb";"HAN";"S"
"75";"knæk";"HAN";"S"
"76";"komst";"HAN";"S"
"77";"kortvil";"HAN";"S"
"78";"krakel";"HAN";"S"
"79";"kræmmeri";"HAN";"S"
"80";"kur";"HAN";"S"
"81";"kure";"HAN";"S"
"82";"kvansvis";"HAN";"S"
"83";"lade";"HAN";"S"
