"";"lemma";"tags";"ordklasse"
"1";"antræd";"HUS";"S"
"2";"bislag";"HUS";"S"
"3";"dræk";"HUS";"S"
"4";"dug";"HUS";"S"
"5";"dukke";"HUS";"S"
"6";"dvælg";"HUS";"S"
"7";"dække";"HUS";"S"
"8";"dørns";"HUS";"S"
"9";"dørslag";"HUS";"S"
"10";"esse";"HUS";"S"
"11";"fibel";"HUS";"S"
"12";"forhæng";"HUS";"S"
"13";"fyrbolle";"HUS";"S"
"14";"gadder";"HUS";"S"
"15";"gemak";"HUS";"S"
"16";"gesind";"HUS";"S"
"17";"gesindeken";"HUS";"S"
"18";"grindel";"HUS";"S"
"19";"grue";"HUS;VER";"S"
"20";"hakkebræt";"HUS;MUS";"S"
"21";"herd";"HUS;HÅN";"S"
"22";"husbjælke";"HUS";"S"
"23";"husfrue";"HUS";"S"
"24";"husgesinde";"HUS";"S"
"25";"hysken";"HUS";"S"
"26";"kakkel";"HUS";"S"
"27";"karnap";"HUS";"S"
"28";"kerte";"HUS";"S"
"29";"kikkert";"HUS";"S"
"30";"kip";"HUS";"S"
"31";"kippe";"HUS";"S"
"32";"kippe";"HUS";"S"
"33";"klappebænk";"HUS";"S"
"34";"klenodie";"HUS";"S"
"35";"klinke";"HUS;HÅN;MIL";"S"
"36";"kop";"HUS;KRO";"S"
"37";"kove";"HUS";"S"
"38";"kovs";"HUS";"S"
"39";"kovsken";"HUS";"S"
"40";"krukke";"HUS";"S"
"41";"krus";"HUS";"S"
"42";"kræmmerhus";"HUS";"S"
"43";"kumme";"HUS";"S"
"44";"kurv";"HUS;HÅN";"S"
"45";"kuvert";"HUS;GAS";"S"
"46";"kyssel";"HUS";"S"
"47";"køje";"DYR;HUS";"S"
"48";"køkerske";"HUS";"S"
"49";"køkken";"HUS";"S"
"50";"køkkenmester";"HUS";"S"
"51";"lagen";"HUS";"S"
"52";"lampe";"HUS";"S"
"53";"lygte";"HUS";"S"
"54";"lædike";"HUS";"S"
"55";"manglebræt";"HUS";"S"
"56";"morter";"HUS";"S"
"57";"mærs";"SØF;HUS";"S"
"58";"måtte";"HUS";"S"
"59";"oldfrue";"HUS";"S"
"60";"pande";"HUS";"S"
"61";"panel";"HUS";"S"
"62";"pavement";"HUS";"S"
"63";"pejs";"HUS";"S"
"64";"pibekande";"HUS";"S"
"65";"pibeovn";"HUS";"S"
"66";"pilkentavl";"HUS";"S"
"67";"pisel";"HUS";"S"
"68";"pitser";"HUS";"S"
"69";"platte";"RUM;HUS";"S"
"70";"port";"SAM;HUS";"S"
"71";"pulpet";"HUS";"S"
"72";"pult";"HUS;HÅN";"S"
"73";"puppe";"HUS;BIO";"S"
"74";"pølle";"HUS";"S"
"75";"rack";"HUS";"S"
"76";"rage";"HUS";"S"
"77";"regel";"HUS;HÅN";"S"
"78";"ridelagen";"HUS";"S"
"79";"rigel";"HÅN;HUS";"S"
"80";"rist";"GAS;HUS";"S"
"81";"rude";"RUM;HUS";"S"
"82";"ruldug";"HUS";"S"
"83";"rylagen";"HUS";"S"
"84";"ræk";"HUS;JUR";"S"
"85";"række";"HUS;HÅN";"S"
"86";"sadelfad";"HUS";"S"
"87";"sallun";"HUS";"S"
"88";"salsirken";"HUS";"S"
"89";"serpentine";"MIL;VER;HUS";"S"
"90";"si";"HUS";"S"
"91";"sigel";"HUS";"S"
"92";"signet";"HUS";"S"
"93";"skab";"HUS";"S"
"94";"skak";"HUS";"S"
"95";"skaktavl";"HUS";"S"
"96";"skammel";"HUS;HÅN";"S"
"97";"skidehus";"HUS";"S"
"98";"skive";"GAS;HÅN;SØF;HUS";"S"
"99";"skodde";"HUS";"S"
"100";"skovr";"HUS";"S"
"101";"skrage";"HUS";"S"
"102";"skrank";"HUS";"S"
"103";"skrankværk";"HUS";"S"
"104";"skrin";"HUS";"S"
"105";"skrivetyg";"HUS";"S"
"106";"skuffe";"HUS";"S"
"107";"skuffel";"HUS;DYR";"S"
"108";"skur";"HUS";"S"
"109";"skuttel";"HUS";"S"
"110";"skænk";"HAN;HUS";""
"111";"skænkeskive";"HUS";"S"
"112";"skærdug";"HUS";"S"
"113";"skærmbræt";"HUS";"S"
"114";"slagvindue";"HUS";"S"
"115";"slatte";"HUS";"S"
"116";"slev";"HUS";"S"
"117";"slå";"HUS";"S"
"118";"spand";"HUS";"S"
"119";"sparlagen";"HUS";"S"
"120";"spejl";"HUS";"S"
"121";"spiser";"HUS";"S"
"122";"sprutte";"HUS;DYR;GAS";"S"
"123";"spøl";"HUS;GAS";"S"
"124";"stade";"SAM;HAN;HUS";"S"
"125";"stakit";"MIL;HUS";"S"
"126";"staldmester";"HUS";"S"
"127";"stenhus";"HUS";"S"
"128";"stob";"HUS;KVA";"S"
"129";"strip";"HUS";"S"
"130";"stundeglas";"HUS";"S"
"131";"stylp";"HUS";"S"
"132";"sæde";"HUS;SAM";"S"
"133";"tabelet";"HUS";"S"
"134";"taffelsmide";"HUS";"S"
"135";"tallerken";"HUS";"S"
"136";"tankebog";"HUS";"S"
"137";"tankebrev";"HUS";"S"
"138";"tant";"HUS;HAN;SPR;FØL";"S"
"139";"tapet";"HUS";"S"
"140";"terne";"HUS";"S"
"141";"terning";"HUS";"S"
"142";"tilbehør";"HUS";"S"
"143";"tilbehøring";"HUS";"S"
"144";"tine";"HUS";"S"
"145";"tove";"HUS";"S"
"146";"tragt";"HUS";"S"
"147";"trappe";"HUS";"S"
"148";"tresur";"HUS;BES";"S"
"149";"tros";"HUS;MIL";"S"
"150";"tud";"KRO;HUS";"S"
"151";"tun";"HUS";"S"
"152";"tæppe";"HUS";"S"
"153";"tøj";"HÅN;MIL;HUS;BEK";"S"
"154";"tørk";"HUS";"S"
"155";"underhus";"HUS";"S"
"156";"vadsæk";"HUS";"S"
"157";"vandkrukke";"HUS";"S"
"158";"vandsten";"HUS";"S"
"159";"vejdemets";"HUS";"S"
"160";"velkomme";"HUS";"S"
"161";"vindelsten";"HUS";"S"
"162";"vindfang";"HÅN;SØF;VER;HUS;BEK";"S"
"163";"vært";"HUS;SAM";"S"
"164";"værtinde";"HUS;SAM";"S"
"165";"værtskab";"HUS;SAM";"S"
"166";"væske";"HUS";"S"
"167";"våner";"HUS";"S"
"168";"våning";"HUS";"S"
"169";"øse";"HUS";"S"
