lemma;tags;ordklasse
alun;HÅN;S
ambolt;HÅN;S
angel;HÅN;S
anverper;HÅN;S
arbejde;HÅN;S
balje;HÅN;S
barber;HÅN;S
barker;HÅN;S
bed;HÅN;S
beg;HÅN;S
bejtel;HÅN;S
berggeselle;HÅN;S
beslag;HÅN;S
bikke;HÅN;S
bil;HÅN;S
bindike;HÅN;S
bindt;HÅN;S
bindøkse;HÅN;S
blik;HÅN;S
blok;HÅN;S
bly;HÅN;S
blyglætte;HÅN;S
bolt;HÅN;S
bolværk;HÅN;S
bort;HÅN;S
brage;HÅN;S
brase;HÅN;S
bremse;HÅN;S
brik;HÅN;S
briks;HÅN;S
bræt;HÅN;S
bumester;HÅN;S
buntmager;HÅN;S
bødker;HÅN;S
bøtte;HÅN;S
digel;HÅN;S
dirk;HÅN;S
donkraft;HÅN;S
druebor;HÅN;S
dunk;HÅN;S
dup;HÅN;S
dyvel;HÅN;S
dæksel;HÅN;S
dæle;HÅN;S
dødike;HÅN;S
elfenben;HÅN;S
fading;HÅN;S
farve;HÅN;S
farver;HÅN;S
fernis;HÅN;S
fil;HÅN;S
filt;HÅN;S
flise;HÅN;S
flitter;HÅN;S
flok;HÅN;S
foder;HÅN;S
foerværk;HÅN;S
forbandt;HÅN;S
forskud;"HÅN;BES";S
fusthammer;HÅN;S
fyrbøder;HÅN;S
fyrtøj;HÅN;S
fælg;HÅN;S
gaffel;"GAS;MIL;SØF;HÅN";S
galle;"BIO;KRO;HÅN";S
garn;HÅN;S
geryst;HÅN;S
gesel;HÅN;S
getov;HÅN;S
gevind;HÅN;S
glas;"HÅN;GAS;SØF";S
glib;HÅN;S
glætte;HÅN;S
grube;"VER;HÅN";S
guldværk;HÅN;S
gæk;HÅN;S
hage;"HÅN;MIL";S
hakke;HÅN;S
hamme;HÅN;S
hank;HÅN;S
hattestafferer;HÅN;S
herd;"HUS;HÅN";S
hulsten;HÅN;S
hvergarn;HÅN;S
hylster;HÅN;S
hyssing;"HÅN;SØF";S
hægte;HÅN;S
hængsel;HÅN;S
høker;HÅN;S
hørsvinger;HÅN;S
høvl;HÅN;S
isenkram;HÅN;S
juvelér;HÅN;S
kalk;HÅN;S
kapel;HÅN;S
karde;HÅN;S
karpe;HÅN;S
karte;HÅN;S
kavl;"HÅN;VER";S
kegle;"HÅN;RUM";S
kel;HÅN;S
kile;HÅN;S
kimme;HÅN;S
kimmer;HÅN;S
kinke;HÅN;S
kipe;HÅN;S
klamme;"HÅN;SPR";S
klap;HÅN;S
klapholt;HÅN;S
klejnsmed;HÅN;S
klinke;"HUS;HÅN;MIL";S
klister;HÅN;S
klokkeknevl;HÅN;S
klokkespise;HÅN;S
klov;HÅN;S
klæbber;HÅN;S
kløft;"VER;HÅN";S
knebel;HÅN;S
knevel;"HÅN;SØF";S
knibe;"HÅN;FØL";S
knibtang;HÅN;S
knipling;HÅN;S
kniv;"HÅN;MIL";S
knob;"SØF;HÅN";S
knot;"HÅN;SAM";S
knæling;"SAM;HÅN";S
kobber;"HÅN;SØF";S
kobberrøg;HÅN;S
kolbe;"MIL;HÅN";S
korde;"HÅN;MUS";S
korde;HÅN;S
kordel;"HÅN;SØF";S
korduan;HÅN;S
krampe;HÅN;S
kran;HÅN;S
krans;"BIO;HÅN";S
krøs;HÅN;S
kube;HÅN;S
kurv;"HUS;HÅN";S
kvast;HÅN;S
kviksølv;HÅN;S
kæde;"HÅN;SAM";S
kønrøg;HÅN;S
kørsener;HÅN;S
lade;HÅN;S
langvogn;HÅN;S
latte;"HÅN;SØF";S
le;HÅN;S
lejd;HÅN;S
lejder;"SØF;HÅN";S
linned;HÅN;S
lo;HÅN;S
lod;"MIL;HÅN;SØF";S
lunstikke;HÅN;S
lunte;HÅN;S
lægte;HÅN;S
lære;"SAM;HÅN";S
løffel;"HÅN;DYR";S
manggods;HÅN;S
messing;HÅN;S
mile;HÅN;S
modefarve;HÅN;S
murermester;HÅN;S
mægler;"JUR;HÅN";S
mølle;HÅN;S
møller;HÅN;S
mønje;HÅN;S
mønster;HÅN;S
mønter;HÅN;S
nagletog;HÅN;S
narv;"HÅN;KRO";S
noppe;HÅN;S
nådler;HÅN;S
oldgesel;HÅN;S
olie;"BIO;HÅN";S
ophæver;"SAM;HÅN";S
oprømmer;HÅN;S
ort;"VER;HÅN";S
overhæng;HÅN;S
overskærer;"HÅN;MIL";S
panser;"BEK;MIL;HÅN";S
papir;HÅN;S
pashamp;HÅN;S
patron;"HÅN;MIL";S
pelser;HÅN;S
pelteri;HÅN;S
pensel;HÅN;S
pergament;HÅN;S
perm;HÅN;S
perse;HÅN;S
pibe;"MUS;KVA;HÅN";S
pilar;"HÅN;GAS";S
pille;HÅN;S
pindsyl;HÅN;S
plade;"RUM;HÅN";S
pladeslager;HÅN;S
plan;"HÅN;RUM;KOG";S
planche;HÅN;S
planke;HÅN;S
planse;HÅN;S
plattenslager;"HÅN;SAM";S
plejl;HÅN;S
plyg;HÅN;S
pløk;HÅN;S
pomissten;"VER;HÅN";S
post;HÅN;S
potte;"HÅN;BIO";S
potter;HÅN;S
potteskår;HÅN;S
preg;HÅN;S
prent;HÅN;S
prenteri;HÅN;S
prik;"HÅN;VER";S
prin;HÅN;S
prop;HÅN;S
pukker;HÅN;S
puls;HÅN;S
pult;"HUS;HÅN";S
pulver;HÅN;S
pumpe;"SØF;HÅN";S
pumpetugge;HÅN;S
puster;HÅN;S
raft;"HÅN;BIO";S
rakker;HÅN;S
rakkerknægt;HÅN;S
rakkerkule;HÅN;S
ramme;HÅN;S
rask;HÅN;S
rasp;HÅN;S
rebe;HÅN;S
reberbane;HÅN;S
rebslager;HÅN;S
redskab;HÅN;S
regel;"HUS;HÅN";S
rem;HÅN;S
rem;HÅN;S
remmesnider;HÅN;S
rettesnor;"HÅN;SAM";S
ribbe;"KRO;HÅN";S
ribbe;HÅN;S
rigel;"HÅN;HUS";S
ris;"BIO;HÅN";S
risp;HÅN;S
rok;HÅN;S
ror;"SØF;HÅN";S
rotlask;HÅN;S
rotsten;HÅN;S
rubank;HÅN;S
rud;HÅN;S
ruf;"SØF;HÅN";S
rughugger;HÅN;S
rulle;"HÅN;SAM";S
rygfoer;HÅN;S
række;"HUS;HÅN";S
rødgyder;HÅN;S
rødsten;"VER;HÅN";S
sadelmager;HÅN;S
sav;HÅN;S
savblok;HÅN;S
savdæle;HÅN;S
sejerværk;HÅN;S
sejser;HÅN;S
selle;"SAM;HÅN";S
setteni;HÅN;S
sideldort;HÅN;S
siden;HÅN;S
sikling;HÅN;S
silkestikker;HÅN;S
sindal;HÅN;S
skabelon;"KOG;HÅN";S
skalk;"GAS;HÅN";
skammel;"HUS;HÅN";S
skarlagen;"BEK;HÅN";S
skarpe;"HÅN;HAN";S
skene;HÅN;S
skinder;HÅN;S
skinne;"KRO;HÅN";S
skive;"GAS;HÅN;SØF;HUS";S
skobod;HÅN;S
skolapper;HÅN;S
skomager;HÅN;S
skorsten;HÅN;S
skovl;HÅN;S
skrabe;"KRO;HÅN";S
skrange;HÅN;S
skrave;HÅN;S
skrinmagere;HÅN;S
skrodvægt;HÅN;S
skrot;"HÅN;MIL";S
skrue;HÅN;S
skrædder;HÅN;S
skræv;HÅN;S
skrå;"HÅN;MIL";S
skuffe;HÅN;S
skumring;"TID;HÅN";S
skurramme;HÅN;S
skytte;HÅN;S
skæve;HÅN;S
skøre;"HÅN;SØF";S
slagge;HÅN;S
slagter;HÅN;S
slib;"HAN;HÅN";S
slink;HÅN;S
slu;"VER;HÅN";S
slyde;"MIL;HÅN";S
snare;"HÅN;MIL";S
snedker;HÅN;S
snor;HÅN;S
spandemager;HÅN;S
spandrem;HÅN;S
spang;"HÅN;BEK";S
spanskgrønt;"HÅN;BIO";S
sparkalk;HÅN;S
spid;"GAS;HÅN;MIL";S
spiger;HÅN;S
spil;"HÅN;SØF";S
spir;"HÅN;SAM;SØF";S
spole;HÅN;S
sprinkel;HÅN;S
sprung;"HAN;HÅN";S
spund;"HÅN;GAS";S
spæk;"DYR;HÅN";S
spær;HÅN;S
spærhage;HÅN;S
stabel;"RUM;HÅN;BES";S
stampe;HÅN;S
steg;HÅN;S
stel;HÅN;S
stelle;HÅN;S
stemp;HÅN;S
stempel;HÅN;S
stenlim;HÅN;S
stenpikkere;HÅN;S
stift;HÅN;S
stihage;HÅN;S
stolbroder;"SAM;HÅN";S
stolpe;HÅN;S
stregmål;HÅN;S
strikke;HÅN;S
strimmel;"KRO;BEK;HÅN";S
stæmpe;HÅN;S
støtte;"HÅN;BES";S
svibbue;HÅN;S
sværdfeger;HÅN;S
sværte;HÅN;S
syl;HÅN;S
syldøkse;HÅN;S
sylle;HÅN;S
sættenagle;HÅN;S
søgere;HÅN;S
søjle;HÅN;S
sølverglød;HÅN;S
sølvskum;HÅN;S
sål;"KRO;HÅN";S
taft;HÅN;S
tagl;HÅN;S
tange;HÅN;S
taskemager;HÅN;S
teglslagere;HÅN;S
teglsten;HÅN;S
tenværk;HÅN;S
test;HÅN;S
tillag;HÅN;S
tilslager;HÅN;S
tind;"HÅN;BIO";S
tinde;HÅN;S
told;HÅN;S
toslagere;HÅN;S
tov;HÅN;S
tral;HÅN;S
tremme;HÅN;S
trisse;"HÅN;SØF";S
tub;HÅN;S
tumler;"SAM;HÅN";S
tvege;"BIO;HÅN";S
tøj;"HÅN;MIL;HUS;BEK";S
tømmermand;"HÅN;SØF;DYR";S
tønde;"HÅN;KVA";S
uart;HÅN;S
udligger;"HÅN;SAM";S
underslag;"BEV;HAN;HÅN";S
unseguld;HÅN;S
ur;"HÅN;TID";S
valkemølle;HÅN;S
vange;HÅN;S
vantmager;HÅN;S
varp;"HAN;SØF;HÅN;VER";S
vildtværk;"DYR;HÅN";S
vimmel;HÅN;S
vinde;HÅN;S
vindetakkel;HÅN;S
vindfang;"HÅN;SØF;VER;HUS;BEK";S
vinforlader;HÅN;S
vinmand;HÅN;S
vippe;HÅN;S
vire;HÅN;S
vognskud;HÅN;S
