"";"lemma";"tags";"ordklasse"
"1";"anstand";"JUR";"S"
"2";"birk";"JUR";"S"
"3";"ejendom";"JUR";"S"
"4";"foged";"JUR";"S"
"5";"fogedi";"JUR";"S"
"6";"fordrag";"JUR";"S"
"7";"forhør";"JUR";"S"
"8";"forlov";"JUR";"S"
"9";"forlover";"JUR";"S"
"10";"formynder";"JUR";"S"
"11";"formynderskab";"JUR";"S"
"12";"fornotling";"JUR";"S"
"13";"forpligt";"JUR";"S"
"14";"forræder";"JUR";"S"
"15";"forskrift";"JUR";"S"
"16";"fuldbord";"JUR";"S"
"17";"fuldmagt";"JUR";"S"
"18";"fyldest";"JUR;BES";"S"
"19";"fængsel";"JUR";"S"
"20";"føje";"JUR";"S"
"21";"hægte";"JUR";"S"
"22";"håndklove";"JUR";"S"
"23";"indlager";"JUR";"S"
"24";"indsigelse";"JUR";"S"
"25";"kag";"JUR";"S"
"26";"kiste";"JUR";"S"
"27";"klage";"SPR;JUR";"S"
"28";"kost";"JUR";"S"
"29";"kundskab";"KOG;JUR";"S"
"30";"lejde";"SAM;JUR";"S"
"31";"lejdebrev";"JUR";"S"
"32";"lempe";"HAN;JUR";"S"
"33";"løfte";"JUR";"S"
"34";"mandslag";"JUR";"S"
"35";"minde";"JUR";"S"
"36";"misdæder";"JUR";"S"
"37";"mytteri";"SØF;JUR";"S"
"38";"mægler";"JUR;HÅN";"S"
"39";"nødværge";"JUR";"S"
"40";"orlov";"JUR";"S"
"41";"pagt";"JUR";"S"
"42";"pant";"JUR";"S"
"43";"part";"SAM;JUR";"S"
"44";"parti";"SAM;KVA;JUR";"S"
"45";"pasbord";"JUR";"S"
"46";"pene";"JUR";"S"
"47";"penningebrev";"JUR";"S"
"48";"pinebænk";"JUR";"S"
"49";"prison";"JUR";"S"
"50";"rebsmand";"JUR";"S"
"51";"retgang";"JUR";"S"
"52";"retter";"JUR";"S"
"53";"retterbænk";"GAS;JUR";"S"
"54";"retterdag";"JUR";"S"
"55";"rettergang";"JUR";"S"
"56";"rettesværd";"JUR";"S"
"57";"rettighed";"JUR;BES";"S"
"58";"ræk";"HUS;JUR";"S"
"59";"rækkebænk";"JUR";"S"
"60";"sagvolder";"JUR";"S"
"61";"segl";"SAM;JUR";"S"
"62";"skandsten";"JUR";"S"
"63";"skarperigter";"JUR";"S"
"64";"skarpretter";"JUR";"S"
"65";"skedsherre";"JUR";"S"
"66";"skedsmand";"JUR";"S"
"67";"skylding";"JUR";"S"
"68";"skæker";"JUR";"S"
"69";"slotslov";"JUR";"S"
"70";"slutter";"JUR";"S"
"71";"sone";"SAM;JUR";"S"
"72";"stavn";"JUR;VER";"S"
"73";"stigt";"JUR;REL";"S"
"74";"stokhus";"JUR";"S"
"75";"stokkeknægt";"JUR";"S"
"76";"stokmester";"JUR";"S"
"77";"straf";"JUR";"S"
"78";"stævne";"JUR;SAM";"S"
"79";"svinedrift";"JUR";"S"
"80";"talsmand";"SAM;JUR";"S"
"81";"tingstok";"SAM;JUR";"S"
"82";"tog";"JUR";"S"
"83";"togsmand";"JUR";"S"
"84";"tvist";"HAN;JUR";"S"
"85";"uddrag";"JUR";"S"
"86";"udvisning";"HAN;JUR";"S"
"87";"udædere";"JUR";"S"
"88";"ulempe";"JUR;HAN";"S"
"89";"upligt";"HAN;JUR";"S"
"90";"uskyld";"FØL;JUR";"S"
"91";"uskyldighed";"FØL;JUR";"S"
"92";"utugt";"FØL;JUR";"S"
"93";"vederpart";"SAM;JUR;MIL;SPR";"S"
"94";"vilkår";"FØL;JUR";"S"
"95";"vished";"KOG;JUR";"S"
"96";"visning";"JUR";"S"
"97";"vissen";"JUR";"S"
"98";"vitterlighed";"KOG;JUR";"S"
"99";"væddemestere";"JUR";"S"
"100";"vældener";"JUR";"S"
"101";"yngermand";"JUR";"S"
"102";"ægteskab";"SLÆ;JUR;REL";"S"
