"";"lemma";"tags";"ordklasse"
"1";"agtertanke";"KOG";"S"
"2";"agtning";"KOG";"S"
"3";"alvor";"KOG";"S"
"4";"barnefod";"KOG";"S"
"5";"begreb";"KOG";"S"
"6";"begær";"KOG";"S"
"7";"behag";"KOG";"S"
"8";"behold";"KOG";"S"
"9";"behov";"KOG";"S"
"10";"beklemmelse";"KOG";"S"
"11";"beråd";"KOG";"S"
"12";"besvær";"KOG";"S"
"13";"betryk";"KOG";"S"
"14";"forskel";"KOG";"S"
"15";"forstand";"KOG";"S"
"16";"forstændighed";"KOG";"S"
"17";"forståelse";"KOG";"S"
"18";"fortoning";"KOG;SØF";"S"
"19";"græsenke";"SAM;KOG";"S"
"20";"hemmelighed";"KOG";"S"
"21";"indbildning";"KOG";"S"
"22";"kans";"KOG;HAN";"S"
"23";"kende";"KOG";"S"
"24";"kloghed";"KOG";"S"
"25";"kundskab";"KOG;JUR";"S"
"26";"lave";"KOG";"S"
"27";"legenhed";"KOG";"S"
"28";"lignelse";"REL;KOG";"S"
"29";"mening";"KOG";"S"
"30";"nykke";"KOG";"S"
"31";"nymære";"KOG";"S"
"32";"omstændighed";"KOG";"S"
"33";"opsat";"BIO;KOG";"S"
"34";"orden";"KOG;SAM";"S"
"35";"plan";"HÅN;RUM;KOG";"S"
"36";"rådslag";"KOG;SAM;SPR";"S"
"37";"samvittighed";"KOG";"S"
"38";"sind";"FØL;KOG";"S"
"39";"sindighed";"KOG";"S"
"40";"sjæl";"KRO;FØL;KOG";"S"
"41";"skabelon";"KOG;HÅN";"S"
"42";"skel";"SAM;KOG";"S"
"43";"skik";"KOG;FØL";"S"
"44";"snu";"HAN;KVA;KOG";"S"
"45";"styrring";"KOG";"S"
"46";"svindighed";"KOG";"S"
"47";"tanke";"KOG";"S"
"48";"tilforsigt";"KOG";"S"
"49";"tvivl";"KOG";"S"
"50";"tvivlagtighed";"KOG";"S"
"51";"ufornuft";"KOG";"S"
"52";"undersked";"KOG";"S"
"53";"underskedning";"KOG";"S"
"54";"urettighed";"KOG";"S"
"55";"usindighed";"KOG";"S"
"56";"uvidskab";"KOG";"S"
"57";"uvilje";"KOG;FØL";"S"
"58";"vare";"HAN;SPR;KOG";"S"
"59";"vederspil";"KOG";"S"
"60";"vederspændighed";"KOG";"S"
"61";"velfart";"FØL;BES;GAS;KOG";"S"
"62";"vid";"KOG";"S"
"63";"videnskab";"KOG";"S"
"64";"vished";"KOG;JUR";"S"
"65";"vitterlighed";"KOG;JUR";"S"
"66";"væsen";"KOG;VER;HAN";"S"
"67";"våge";"KOG;REL";"S"
"68";"ønske";"FØL;HAN;KOG";"S"
