"";"lemma";"tags";"ordklasse"
"1";"alderdom";"KRO";"S"
"2";"anfald";"KRO";"S"
"3";"ansigt";"KRO";"S"
"4";"bart";"KRO";"S"
"5";"bean";"KRO";"S"
"6";"bedring";"KRO";"S"
"7";"bikkel";"KRO";"S"
"8";"blæne";"KRO";"S"
"9";"brok";"KRO";"S"
"10";"bugbid";"KRO";"S"
"11";"bussemand";"KRO";"S"
"12";"bækken";"KRO";"S"
"13";"dros";"KRO";"S"
"14";"egt";"KRO";"S"
"15";"farsot";"KRO";"S"
"16";"feber";"KRO";"S"
"17";"fistel";"KRO";"S"
"18";"flab";"KRO";"S"
"19";"flomme";"KRO";"S"
"20";"flæb";"KRO";"S"
"21";"fod";"KRO";"S"
"22";"forhoved";"KRO";"S"
"23";"galle";"BIO;KRO;HÅN";"S"
"24";"gigt";"KRO";"S"
"25";"grøde";"BIO;KRO";"S"
"26";"gynter";"KRO";"S"
"27";"hase";"KRO";"S"
"28";"hjerteslag";"KRO";"S"
"29";"hofte";"KRO";"S"
"30";"igt";"KRO";"S"
"31";"jægt";"KRO";"S"
"32";"kindbakke";"DYR;KRO;SØF";"S"
"33";"knoge";"KRO";"S"
"34";"knogle";"KRO";"S"
"35";"knogleknokkel";"KRO";"S"
"36";"kol";"KRO;VER";"S"
"37";"kop";"HUS;KRO";"S"
"38";"krampe";"KRO";"S"
"39";"krop";"KRO";"S"
"40";"kræft";"KRO";"S"
"41";"krøbel";"KRO";"S"
"42";"krølle";"KRO;BEK";"S"
"43";"kuller";"DYR;KRO";"S"
"44";"kvalster";"KRO";"S"
"45";"kæbe";"KRO";"S"
"46";"kæmpe";"MIL;KRO";"S"
"47";"kæmper";"MIL;KRO";"S"
"48";"legeme";"KRO";"S"
"49";"ligtorn";"KRO";"S"
"50";"lyske";"KRO";"S"
"51";"mase";"KRO;BIO";"S"
"52";"materie";"KRO";"S"
"53";"muk";"KRO";"S"
"54";"mundlæder";"KRO";"S"
"55";"mæslinger";"KRO";"S"
"56";"nakke";"KRO";"S"
"57";"narv";"HÅN;KRO";"S"
"58";"navleorm";"KRO";"S"
"59";"pille";"KRO";"S"
"60";"pint";"KRO";"S"
"61";"pip";"KRO";"S"
"62";"pis";"KRO";"S"
"63";"pit";"KRO";"S"
"64";"plaster";"KRO";"S"
"65";"podagel";"KRO";"S"
"66";"podagra";"KRO";"S"
"67";"pokker";"KRO;REL";"S"
"68";"popelsi";"KRO";"S"
"69";"pukkel";"VER;DYR;KRO";"S"
"70";"puls";"KRO";"S"
"71";"rampe";"KRO";"S"
"72";"remp";"KRO;BES";"S"
"73";"ribbe";"KRO;HÅN";"S"
"74";"roe";"KRO";"S"
"75";"rumpe";"KRO";"S"
"76";"rygkræft";"KRO";"S"
"77";"salve";"KRO";"S"
"78";"save";"KRO";"S"
"79";"sjughed";"KRO";"S"
"80";"sjæl";"KRO;FØL;KOG";"S"
"81";"skalle";"KRO";"S"
"82";"skamme";"KRO";"S"
"83";"skavank";"KRO";"S"
"84";"sked";"KRO";"S"
"85";"skenkel";"KRO";"S"
"86";"skidt";"KRO;FØL";"S"
"87";"skikkelse";"KRO;SAM";"S"
"88";"skinne";"KRO;HÅN";"S"
"89";"skinneben";"KRO";"S"
"90";"skrabe";"KRO;HÅN";"S"
"91";"skramme";"KRO;BEK";"S"
"92";"skridt";"KRO;BEV";"S"
"93";"skrolle";"KRO";"S"
"94";"skrump";"KRO";"S"
"95";"skulder";"KRO";"S"
"96";"skæver";"KRO";"S"
"97";"skørbug";"KRO";"S"
"98";"slægt";"SLÆ;KRO";"S"
"99";"smitte";"KRO;BEK";"S"
"100";"smærte";"FØL;KRO;SAN";"S"
"101";"snot";"KRO";"S"
"102";"snue";"KRO";"S"
"103";"sodbrænden";"KRO";"S"
"104";"spene";"KRO;DYR";"S"
"105";"sprinkler";"KRO";"S"
"106";"spy";"KRO;HAN";"S"
"107";"sterredros";"KRO";"S"
"108";"stikpille";"KRO";"S"
"109";"strime";"VER;KRO";"S"
"110";"strimmel";"KRO;BEK;HÅN";"S"
"111";"stær";"KRO";"S"
"112";"sundhed";"KRO";"S"
"113";"svimelse";"KRO";"S"
"114";"svulst";"KRO";"S"
"115";"svælg";"KRO";"S"
"116";"svær";"KRO";"S"
"117";"sål";"KRO;HÅN";"S"
"118";"tud";"KRO;HUS";"S"
"119";"ulv";"KRO";"S"
"120";"vattersot";"KRO";"S"
"121";"ve";"FØL;KRO";"S"
"122";"venen";"KRO";"S"
"123";"vindeldug";"KRO";"S"
"124";"vrist";"KRO";"S"
"125";"vunde";"KRO";"S"
"126";"vundenkrud";"KRO";"S"
"127";"værgebo";"KRO";"S"
"128";"øjeblik";"KRO;HAN;SAN;TID";"S"
"129";"øjeled";"KRO";"S"
"130";"øjeæble";"KRO";"S"
"131";"øjneflod";"KRO";"S"
