"";"lemma";"tags";"ordklasse"
"1";"ame";"KVA";"S"
"2";"antal";"KVA";"S"
"3";"bit";"KVA";"S"
"4";"bitte";"KVA";"S"
"5";"bundt";"KVA";"S"
"6";"deger";"KVA";"S"
"7";"del";"KVA";"S"
"8";"drue";"KVA";"S"
"9";"dusin";"KVA";"S"
"10";"es";"KVA";"S"
"11";"ferdendel";"KVA";"S"
"12";"fjerdendel";"KVA";"S"
"13";"hob";"KVA";"S"
"14";"hælvt";"KVA";"S"
"15";"kardus";"MIL;KVA";"S"
"16";"kvarter";"RUM;KVA;TID";"S"
"17";"kvater";"KVA";"S"
"18";"kvintin";"KVA";"S"
"19";"lispund";"KVA";"S"
"20";"mestepart";"KVA";"S"
"21";"morgen";"KVA";"S"
"22";"måde";"KVA;HAN";"S"
"23";"ort";"BES;KVA";"S"
"24";"overflod";"KVA;VER";"S"
"25";"par";"KVA";"S"
"26";"parti";"SAM;KVA;JUR";"S"
"27";"pas";"KVA;RUM";"S"
"28";"pibe";"MUS;KVA;HÅN";"S"
"29";"pinsun";"KVA";"S"
"30";"pint";"KVA";"S"
"31";"pægl";"KVA";"S"
"32";"ris";"KVA";"S"
"33";"rode";"BES;KVA";"S"
"34";"sig";"VER;KVA";"S"
"35";"sinke";"KVA";"S"
"36";"skippund";"KVA";"S"
"37";"skok";"KVA";"S"
"38";"skokketal";"KVA";"S"
"39";"slat";"GAS;KVA";"S"
"40";"slump";"HAN;KVA";"S"
"41";"småhed";"KVA;FØL";"S"
"42";"snes";"KVA";"S"
"43";"snu";"HAN;KVA;KOG";"S"
"44";"som";"KVA";"S"
"45";"sped";"KVA";"S"
"46";"stig";"KVA";"S"
"47";"stim";"HAN;KVA";"S"
"48";"stob";"HUS;KVA";"S"
"49";"stuve";"KVA;SAM";"S"
"50";"stykke";"RUM;KVA";"S"
"51";"støveken";"KVA";"S"
"52";"sum";"KVA;BES";"S"
"53";"svalm";"VER;KVA";"S"
"54";"sækkertal";"KVA";"S"
"55";"tom";"KVA";"S"
"56";"tremet";"KVA";"S"
"57";"trøje";"KVA";"S"
"58";"tøddel";"SAM;KVA";"S"
"59";"tønde";"HÅN;KVA";"S"
"60";"vidtløftighed";"RUM;KVA";"S"
"61";"vilde";"KVA";"S"
"62";"vol";"KVA";"S"
"63";"vægt";"KVA;BES";"S"
