"";"lemma";"tags";"ordklasse"
"1";"angreb";"MIL";"S"
"2";"arkeli";"MIL";"S"
"3";"armbrøst";"MIL";"S"
"4";"armtøj";"MIL";"S"
"5";"balg";"MIL";"S"
"6";"banner";"MIL";"S"
"7";"barde";"MIL";"S"
"8";"barfred";"MIL";"S"
"9";"belag";"MIL";"S"
"10";"berme";"MIL";"S"
"11";"blide";"MIL";"S"
"12";"blænker";"MIL";"S"
"13";"bøsse";"MIL";"S"
"14";"bøssekrudt";"MIL";"S"
"15";"bøssesten";"MIL";"S"
"16";"båre";"MIL";"S"
"17";"drabant";"MIL";"S"
"18";"dyst";"MIL";"S"
"19";"faldbom";"MIL";"S"
"20";"fane";"MIL";"S"
"21";"fange";"MIL";"S"
"22";"fejde";"MIL";"S"
"23";"flugt";"MIL";"S"
"24";"fløj";"DYR;MIL;SAM";"S"
"25";"forborg";"MIL";"S"
"26";"forpæling";"MIL";"S"
"27";"fourer";"SAM;MIL";"S"
"28";"fribytter";"MIL";"S"
"29";"fyrbold";"MIL";"S"
"30";"fænnik";"MIL";"S"
"31";"gaffel";"GAS;MIL;SØF;HÅN";"S"
"32";"geled";"MIL";"S"
"33";"gesellestik";"MIL";"S"
"34";"gevær";"MIL";"S"
"35";"gisel";"MIL";"S"
"36";"glavind";"MIL";"S"
"37";"hage";"HÅN;MIL";"S"
"38";"hagebøsse";"MIL";"S"
"39";"harnisk";"MIL";"S"
"40";"havelværk";"MIL";"S"
"41";"hidsehund";"MIL";"S"
"42";"hinderhold";"MIL";"S"
"43";"homej";"MIL";"S"
"44";"høvedsmand";"SAM;MIL";"S"
"45";"jagt";"MIL";"S"
"46";"jæger";"MIL";"S"
"47";"kardus";"MIL;KVA";"S"
"48";"kartove";"MIL";"S"
"49";"kastel";"MIL";"S"
"50";"klinke";"HUS;HÅN;MIL";"S"
"51";"knippel";"MIL";"S"
"52";"kniv";"HÅN;MIL";"S"
"53";"kogger";"MIL;SØF";"S"
"54";"kolbe";"MIL;HÅN";"S"
"55";"krig";"MIL";"S"
"56";"krudt";"MIL";"S"
"57";"kundskaber";"MIL";"S"
"58";"kuretårn";"MIL";"S"
"59";"kæmpe";"MIL;KRO";"S"
"60";"kæmper";"MIL;KRO";"S"
"61";"kårde";"MIL";"S"
"62";"lejr";"MIL";"S"
"63";"lod";"MIL;HÅN;SØF";"S"
"64";"luder";"MIL";"S"
"65";"løsen";"MIL";"S"
"66";"marskal";"MIL";"S"
"67";"mortér";"MIL";"S"
"68";"mønsterplads";"MIL";"S"
"69";"mønstring";"HAN;SØF;MIL";"S"
"70";"mørser";"MIL";"S"
"71";"optog";"HAN;MIL";"S"
"72";"orlog";"MIL;SØF";"S"
"73";"overfald";"MIL";"S"
"74";"overskærer";"HÅN;MIL";"S"
"75";"pamper";"MIL";"S"
"76";"pander";"MIL";"S"
"77";"panser";"BEK;MIL;HÅN";"S"
"78";"partisan";"MIL";"S"
"79";"patron";"HÅN;MIL";"S"
"80";"pik";"MIL";"S"
"81";"pikkelhue";"MIL";"S"
"82";"pil";"MIL";"S"
"83";"pluds";"MIL";"S"
"84";"pok";"MIL";"S"
"85";"poløxe";"MIL";"S"
"86";"postej";"MIL";"S"
"87";"pundert";"MIL";"S"
"88";"rejse";"HAN;BEV;MIL";"S"
"89";"rejsner";"SAM;MIL";"S"
"90";"ridder";"SAM;MIL";"S"
"91";"ridderskab";"HAN;SAM;MIL";"S"
"92";"riddersmand";"SAM;MIL";"S"
"93";"ritmester";"MIL";"S"
"94";"rode";"SAM;MIL";"S"
"95";"rodemester";"SAM;MIL";"S"
"96";"rustmester";"MIL";"S"
"97";"ryting";"MIL";"S"
"98";"rytter";"MIL";"S"
"99";"rytteri";"MIL";"S"
"100";"rør";"MIL";"S"
"101";"røst";"MIL";"S"
"102";"røstmester";"MIL";"S"
"103";"sargiant";"MIL";"S"
"104";"serpentine";"MIL;VER;HUS";"S"
"105";"skanse";"MIL;SØF";"S"
"106";"skarpmese";"MIL";"S"
"107";"skarvagt";"MIL";"S"
"108";"skerpentine";"MIL";"S"
"109";"skildvagt";"MIL";"S"
"110";"skilt";"MIL;SAM";"S"
"111";"skjold";"MIL";"S"
"112";"skjud";"MIL";"S"
"113";"skrot";"HÅN;MIL";"S"
"114";"skrå";"HÅN;MIL";"S"
"115";"skyt";"MIL";"S"
"116";"skytfærd";"MIL";"S"
"117";"skyts";"MIL";"S"
"118";"skytte";"MIL";"S"
"119";"skyttevold";"MIL";"S"
"120";"skærbrækker";"MIL";"S"
"121";"skærm";"MIL";"S"
"122";"skærmere";"MIL";"S"
"123";"skærmeslag";"MIL";"S"
"124";"skærmydsel";"MIL;HAN";"S"
"125";"slagt";"MIL";"S"
"126";"slot";"MIL;SAM";"S"
"127";"slyde";"MIL;HÅN";"S"
"128";"slynge";"MIL";"S"
"129";"snaphane";"MIL";"S"
"130";"snare";"HÅN;MIL";"S"
"131";"soldat";"MIL";"S"
"132";"soldner";"MIL";"S"
"133";"spejder";"MIL";"S"
"134";"spid";"GAS;HÅN;MIL";"S"
"135";"spids";"MIL";"S"
"136";"spore";"MIL";"S"
"137";"spyd";"MIL";"S"
"138";"spydstage";"MIL";"S"
"139";"spær";"MIL";"S"
"140";"stakit";"MIL;HUS";"S"
"141";"standart";"MIL";"S"
"142";"stekemes";"MIL";"S"
"143";"stenbøsse";"MIL";"S"
"144";"stikketøg";"MIL";"S"
"145";"stormhage";"MIL";"S"
"146";"strid";"HAN;MIL";"S"
"147";"strikmur";"MIL";"S"
"148";"strikværn";"MIL";"S"
"149";"sudler";"MIL;SAM";"S"
"150";"tarse";"MIL";"S"
