"";"lemma";"tags";"ordklasse"
"1";"basun";"MUS";"S"
"2";"billede";"MUS";"S"
"3";"digt";"MUS";"S"
"4";"farvelade";"MUS";"S"
"5";"fedel";"MUS";"S"
"6";"fiol";"MUS";"S"
"7";"fløjte";"MUS";"S"
"8";"forspil";"MUS";"S"
"9";"gige";"MUS";"S"
"10";"hakkebræt";"HUS;MUS";"S"
"11";"korde";"HÅN;MUS";"S"
"12";"kunst";"MUS";"S"
"13";"kunster";"MUS";"S"
"14";"kvint";"MUS";"S"
"15";"lire";"MUS";"S"
"16";"lirekasse";"MUS";"S"
"17";"lut";"MUS";"S"
"18";"organist";"MUS";"S"
"19";"orgel";"MUS";"S"
"20";"orgelist";"MUS";"S"
"21";"pibe";"MUS;KVA;HÅN";"S"
"22";"piber";"MUS;SØF;DYR";"S"
"23";"positiv";"MUS";"S"
"24";"roland";"MUS";"S"
"25";"sangmester";"MUS";"S"
"26";"sejdespil";"MUS";"S"
"27";"skalmeje";"MUS";"S"
"28";"spiller";"SAM;MUS";"S"
"29";"trometere";"MUS";"S"
"30";"tromme";"MUS";"S"
"31";"trompe";"MUS";"S"
"32";"trompere";"MUS";"S"
"33";"trompet";"MUS";"S"
"34";"trumpeslagere";"MUS";"S"
