"";"lemma";"tags";"ordklasse"
"1";"abbedi";"REL";"S"
"2";"advent";"REL";"S"
"3";"afgud";"REL";"S"
"4";"afguderi";"REL";"S"
"5";"aflad";"REL";"S"
"6";"almisse";"REL";"S"
"7";"bibel";"REL";"S"
"8";"drummer";"REL";"S"
"9";"dåb";"REL";"S"
"10";"fadder";"REL";"S"
"11";"fadderskab";"REL";"S"
"12";"fadderske";"REL";"S"
"13";"farebog";"REL";"S"
"14";"fastelavn";"REL";"S"
"15";"fejefyr";"REL";"S"
"16";"forbeding";"REL";"S"
"17";"fromesse";"REL";"S"
"18";"gudshus";"REL";"S"
"19";"hellighed";"REL";"S"
"20";"helsfyr";"REL";"S"
"21";"henfart";"BEV;REL";"S"
"22";"hvidesøndag";"REL";"S"
"23";"højtid";"REL";"S"
"24";"jennik";"REL";"S"
"25";"kalent";"REL";"S"
"26";"kapel";"REL";"S"
"27";"kleresi";"REL";"S"
"28";"klerk";"REL";"S"
"29";"klokker";"REL";"S"
"30";"kloster";"REL";"S"
"31";"klus";"REL";"S"
"32";"kraftkirke";"REL";"S"
"33";"kristen";"REL";"S"
"34";"kætter";"REL";"S"
"35";"lektie";"SAM;REL";"S"
"36";"lignelse";"REL;KOG";"S"
"37";"lykke";"REL;FØL";"S"
"38";"lægmand";"SAM;REL";"S"
"39";"maledide";"REL";"S"
"40";"mareminde";"REL";"S"
"41";"messe";"REL";"S"
"42";"munk";"REL";"S"
"43";"mynster";"REL";"S"
"44";"nobiskro";"REL";"S"
"45";"offer";"REL";"S"
"46";"offerpenge";"REL";"S"
"47";"pale";"REL";"S"
"48";"passion";"REL;FØL";"S"
"49";"pave";"REL";"S"
"50";"pavst";"REL";"S"
"51";"pings";"REL";"S"
"52";"pinse";"REL";"S"
"53";"pokker";"KRO;REL";"S"
"54";"provst";"REL";"S"
"55";"provsti";"REL";"S"
"56";"salighed";"REL";"S"
"57";"salving";"REL";"S"
"58";"samarie";"BEK;REL";"S"
"59";"sjælebad";"REL";"S"
"60";"sjæledag";"REL";"S"
"61";"sjælegave";"REL";"S"
"62";"spog";"REL;SAM";"S"
"63";"stift";"REL";"S"
"64";"stigt";"JUR;REL";"S"
"65";"strækkeben";"REL";"S"
"66";"sværm";"REL";"S"
"67";"sølvpop";"SAM;REL";"S"
"68";"tempel";"REL";"S"
"69";"tyrk";"VER;REL";"S"
"70";"ulykke";"FØL;HAN;REL";"S"
"71";"underværk";"REL";"S"
"72";"vantro";"FØL;REL";"S"
"73";"vartegn";"SAM;REL";"S"
"74";"vederdøber";"REL";"S"
"75";"viebiskop";"REL";"S"
"76";"viebisp";"REL";"S"
"77";"viekost";"REL";"S"
"78";"vielse";"REL";"S"
"79";"vunder";"REL";"S"
"80";"våbenhus";"MIL;REL";"S"
"81";"våge";"KOG;REL";"S"
"82";"ægteskab";"SLÆ;JUR;REL";"S"
"83";"øjenskalk";"REL";"S"
"84";"åbenbaring";"HAN;REL";"S"
