"";"lemma";"tags";"ordklasse"
"1";"belob";"RUM";"S"
"2";"forløb";"TID;RUM";"S"
"3";"form";"RUM";"S"
"4";"huk";"RUM;SØF";"S"
"5";"indhold";"RUM";"S"
"6";"kant";"RUM";"S"
"7";"kegle";"HÅN;RUM";"S"
"8";"klod";"RUM;SØF";"S"
"9";"klump";"SAM;RUM";"S"
"10";"klyne";"BIO;RUM";"S"
"11";"knop";"RUM;BIO";"S"
"12";"kryds";"RUM";"S"
"13";"krøgle";"RUM";"S"
"14";"kvarter";"RUM;KVA;TID";"S"
"15";"middel";"BES;SAM;RUM";"S"
"16";"pas";"KVA;RUM";"S"
"17";"persil";"RUM";"S"
"18";"plade";"RUM;HÅN";"S"
"19";"plan";"HÅN;RUM;KOG";"S"
"20";"platte";"RUM;HUS";"S"
"21";"rude";"RUM;HUS";"S"
"22";"runddel";"RUM";"S"
"23";"skakkeret";"RUM";"S"
"24";"spids";"RUM";"S"
"25";"split";"RUM;VER";"S"
"26";"stabel";"RUM;HÅN;BES";"S"
"27";"streg";"VER;RUM";"S"
"28";"stribe";"VER;RUM";"S"
"29";"strig";"RUM";"S"
"30";"stråle";"VER;RUM";"S"
"31";"stykke";"RUM;KVA";"S"
"32";"tak";"RUM";"S"
"33";"tip";"RUM";"S"
"34";"trent";"RUM;TID";"S"
"35";"trille";"RUM";"S"
"36";"vidde";"RUM;VER";"S"
"37";"vidtløftighed";"RUM;KVA";"S"
"38";"vinkel";"RUM";"S"
"39";"vrille";"RUM";"S"
