"";"lemma";"tags";"ordklasse"
"1";"afhandling";"SAM";"S"
"2";"aldermand";"SAM";"S"
"3";"amt";"SAM";"S"
"4";"anhang";"SAM";"S"
"5";"ark";"SAM";"S"
"6";"arvesåt";"SAM";"S"
"7";"befal";"SAM";"S"
"8";"befaling";"SAM";"S"
"9";"begynder";"SAM";"S"
"10";"begæring";"SAM";"S"
"11";"behør";"SAM";"S"
"12";"beram";"SAM";"S"
"13";"berøm";"SAM";"S"
"14";"beskudding";"SAM";"S"
"15";"beskyt";"SAM";"S"
"16";"bestand";"SAM";"S"
"17";"bestilling";"SAM";"S"
"18";"bevilling";"SAM";"S"
"19";"bislopperske";"SAM";"S"
"20";"bistand";"SAM";"S"
"21";"bol";"SAM";"S"
"22";"bole";"SAM";"S"
"23";"bolskab";"SAM";"S"
"24";"bom";"SAM";"S"
"25";"bopæl";"SAM";"S"
"26";"borgeleje";"SAM";"S"
"27";"borger";"SAM";"S"
"28";"borgerskab";"SAM";"S"
"29";"borgerske";"SAM";"S"
"30";"borgmester";"SAM";"S"
"31";"boulevard";"SAM";"S"
"32";"brug";"SAM";"S"
"33";"bursprog";"SAM";"S"
"34";"bærme";"SAM";"S"
"35";"bøddel";"SAM";"S"
"36";"bøddele";"SAM";"S"
"37";"bønhas";"SAM";"S"
"38";"celle";"SAM";"S"
"39";"chartek";"SAM";"S"
"40";"dagting";"SAM";"S"
"41";"dannekvinde";"SAM";"S"
"42";"dannemand";"SAM";"S"
"43";"digegreve";"SAM";"S"
"44";"dobbel";"SAM";"S"
"45";"dole";"SAM";"S"
"46";"drager";"SAM";"S"
"47";"dranker";"SAM";"S"
"48";"drog";"SAM";"S"
"49";"drost";"SAM";"S"
"50";"drukkenbolt";"SAM";"S"
"51";"dræksjung";"SAM";"S"
"52";"dudendop";"SAM";"S"
"53";"dumrian";"SAM";"S"
"54";"dus";"SAM";"S"
"55";"dåre";"SAM";"S"
"56";"dårekiste";"SAM";"S"
"57";"embedsmand";"SAM";"S"
"58";"endesked";"SAM";"S"
"59";"endragt";"SAM";"S"
"60";"enspænder";"SAM";"S"
"61";"falskner";"SAM";"S"
"62";"fant";"SAM";"S"
"63";"fetaljebroder";"SAM";"S"
"64";"fled";"SAM";"S"
"65";"flække";"SAM";"S"
