"";"lemma";"tags";"ordklasse"
"1";"ane";"SLÆ";"S"
"2";"anhær";"SLÆ";"S"
"3";"enke";"SLÆ";"S"
"4";"forfader";"SLÆ";"S"
"5";"forvantskab";"SLÆ";"S"
"6";"frille";"SLÆ";"S"
"7";"frynt";"SLÆ";"S"
"8";"fryntskab";"SLÆ";"S"
"9";"fætter";"SLÆ";"S"
"10";"hanrej";"SLÆ";"S"
"11";"herkomst";"SLÆ";"S"
"12";"horesøn";"SLÆ";"S"
"13";"mødrene";"SLÆ";"S"
"14";"oldefader";"SLÆ";"S"
"15";"oldemoder";"SLÆ";"S"
"16";"om";"SLÆ";"S"
"17";"semand";"SLÆ";"S"
"18";"sengenætter";"SLÆ";"S"
"19";"slægt";"SLÆ;KRO";"S"
"20";"spindeside";"SLÆ";"S"
"21";"stalbroder";"SLÆ";"S"
"22";"suput";"SLÆ";"S"
"23";"svigerske";"SLÆ";"S"
"24";"svoger";"SLÆ";"S"
"25";"sværdside";"SLÆ";"S"
"26";"søsterskap";"SLÆ;SAM";"S"
"27";"uægte";"SLÆ";"S"
"28";"vitve";"SLÆ";"S"
"29";"ægte";"SLÆ";"S"
"30";"ægtemand";"SLÆ";"S"
"31";"ægteskab";"SLÆ;JUR;REL";"S"
"32";"ægteviv";"SLÆ";"S"
