"";"lemma";"tags";"ordklasse"
"1";"afbigt";"SPR";"S"
"2";"afbud";"SPR";"S"
"3";"afsked";"SPR";"S"
"4";"bekendelse";"SPR";"S"
"5";"besked";"SPR";"S"
"6";"brum";"SPR";"S"
"7";"efterretning";"SPR";"S"
"8";"forord";"SPR";"S"
"9";"klage";"SPR;JUR";"S"
"10";"klamme";"HÅN;SPR";"S"
"11";"klik";"BIO;SPR";"S"
"12";"melding";"SPR";"S"
"13";"overhaling";"SPR";"S"
"14";"rim";"SPR";"S"
"15";"rygte";"SPR;FØL";"S"
"16";"røffel";"SPR";"S"
"17";"rådslag";"KOG;SAM;SPR";"S"
"18";"skrift";"HAN;SPR;SAM";"S"
"19";"skældensord";"SPR";"S"
"20";"skælding";"SPR";"S"
"21";"skældsord";"SPR";"S"
"22";"smigeri";"HAN;SPR";"S"
"23";"smæ";"SPR";"S"
"24";"smælighed";"SPR";"S"
"25";"snak";"SPR";"S"
"26";"sprog";"SPR";"S"
"27";"stemme";"SPR";"S"
"28";"tant";"HUS;HAN;SPR;FØL";"S"
"29";"tiding";"SPR";"S"
"30";"tolk";"SPR";"S"
"31";"trøst";"SPR;FØL";"S"
"32";"vare";"HAN;SPR;KOG";"S"
"33";"vederpart";"SAM;JUR;MIL;SPR";"S"
