"";"lemma";"tags";"ordklasse"
"1";"agter";"SØF";"S"
"2";"anker";"SØF";"S"
"3";"bakke";"SØF";"S"
"4";"ballast";"SØF";"S"
"5";"balle";"SØF";"S"
"6";"barnsten";"SØF";"S"
"7";"barse";"SØF";"S"
"8";"bernsten";"SØF";"S"
"9";"bigat";"SØF";"S"
"10";"bindsel";"SØF";"S"
"11";"blus";"SØF";"S"
"12";"bolt";"SØF";"S"
"13";"bovspryd";"SØF";"S"
"14";"bradbænk";"SØF";"S"
"15";"bugspryd";"SØF";"S"
"16";"busseskib";"SØF";"S"
"17";"byse";"SØF";"S"
"18";"bøje";"SØF";"S"
"19";"bøjert";"SØF";"S"
"20";"bådsmand";"SØF";"S"
"21";"båke";"SØF";"S"
"22";"dok";"SØF";"S"
"23";"dugt";"SØF";"S"
"24";"dvælg";"SØF";"S"
"25";"dørk";"SØF";"S"
"26";"ege";"SØF";"S"
"27";"eskadre";"SØF";"S"
"28";"esping";"SØF";"S"
"29";"etmål";"SØF";"S"
"30";"evert";"SØF";"S"
"31";"falkonet";"SØF";"S"
"32";"fartøj";"SØF";"S"
"33";"fløjte";"SØF";"S"
"34";"fok";"SØF";"S"
"35";"fordæk";"SØF";"S"
"36";"forkastel";"SØF";"S"
"37";"fortog";"SØF";"S"
"38";"fortoning";"KOG;SØF";"S"
"39";"fragt";"SØF";"S"
"40";"fyr";"VER;SØF";"S"
"41";"føring";"SØF";"S"
"42";"gaffel";"GAS;MIL;SØF;HÅN";"S"
"43";"galej";"SØF";"S"
"44";"gie";"SØF";"S"
"45";"glas";"HÅN;GAS;SØF";"S"
"46";"hellegat";"SØF";"S"
"47";"holk";"SØF";"S"
"48";"hovedskib";"SØF";"S"
"49";"hovmester";"SAM;SØF";"S"
"50";"huk";"RUM;SØF";"S"
"51";"humpel";"GAS;SØF";"S"
"52";"hyre";"BES;SØF";"S"
"53";"hyssing";"HÅN;SØF";"S"
"54";"hælding";"SØF";"S"
"55";"indholt";"SØF";"S"
"56";"jolle";"SØF";"S"
"57";"kabe";"SØF";"S"
"58";"kabel";"SØF";"S"
"59";"kabeltegn";"SØF";"S"
"60";"kabys";"SØF";"S"
"61";"kahyt";"SØF";"S"
"62";"karavel";"SØF";"S"
"63";"kindbakke";"DYR;KRO;SØF";"S"
"64";"klod";"RUM;SØF";"S"
"65";"klys";"SØF";"S"
"66";"klyver";"SØF";"S"
"67";"knevel";"HÅN;SØF";"S"
"68";"knob";"SØF;HÅN";"S"
"69";"kobber";"HÅN;SØF";"S"
"70";"koffardi";"SØF";"S"
"71";"kogge";"SØF";"S"
"72";"kogger";"MIL;SØF";"S"
"73";"kordel";"HÅN;SØF";"S"
"74";"kort";"SØF;SAM";"S"
"75";"kragejolle";"SØF";"S"
"76";"kravel";"SØF";"S"
"77";"krejert";"SØF";"S"
"78";"krumholt";"SØF";"S"
"79";"kuf";"SØF";"S"
"80";"kule";"VER;SØF";"S"
"81";"kvabbe";"DYR;SØF";"S"
"82";"kvase";"SØF";"S"
"83";"kås";"SØF";"S"
"84";"last";"SØF;FØL";"S"
"85";"lasttold";"SØF";"S"
"86";"latte";"HÅN;SØF";"S"
"87";"lejder";"SØF;HÅN";"S"
"88";"lod";"MIL;HÅN;SØF";"S"
"89";"lodsmand";"SØF";"S"
"90";"luge";"SØF";"S"
"91";"luv";"SØF";"S"
"92";"længe";"SØF";"S"
"93";"mast";"SØF";"S"
"94";"mat";"SØF";"S"
"95";"moskølle";"SØF";"S"
"96";"mytse";"SØF";"S"
"97";"mytteri";"SØF;JUR";"S"
"98";"mærling";"SØF";"S"
"99";"mærs";"SØF;HUS";"S"
"100";"mønstring";"HAN;SØF;MIL";"S"
"101";"nathus";"SØF";"S"
"102";"nåd";"SØF";"S"
"103";"opløb";"HAN;SØF";"S"
"104";"orlog";"MIL;SØF";"S"
"105";"orlogger";"SØF";"S"
"106";"ost";"VER;SØF";"S"
"107";"pert";"SØF";"S"
"108";"piber";"MUS;SØF;DYR";"S"
"109";"pikkeronne";"SØF";"S"
"110";"pinke";"SØF";"S"
"111";"pligt";"SØF";"S"
"112";"plyndergreve";"SØF";"S"
"113";"pram";"SØF";"S"
"114";"primegæld";"SØF";"S"
"115";"pumpe";"SØF;HÅN";"S"
"116";"pøker";"SØF";"S"
"117";"ransel";"BEK;SØF";"S"
"118";"ranson";"SØF";"S"
"119";"rat";"SØF";"S"
"120";"red";"SØF";"S"
"121";"reder";"SØF";"S"
"122";"regd";"SØF";"S"
"123";"rende";"VER;SØF";"S"
"124";"rendesten";"SAM;SØF";"S"
"125";"revir";"VER;SØF";"S"
"126";"ror";"SØF;HÅN";"S"
"127";"ruf";"SØF;HÅN";"S"
"128";"rundholt";"SØF";"S"
"129";"ræling";"SØF";"S"
"130";"røjer";"SØF";"S"
"131";"seglatie";"SØF";"S"
"132";"seglsten";"SØF";"S"
"133";"sejdenskib";"SØF";"S"
"134";"sejlads";"SØF";"S"
"135";"sejlgarn";"SØF";"S"
"136";"sigte";"SØF";"S"
"137";"skanse";"MIL;SØF";"S"
"138";"skibbrud";"SØF";"S"
"139";"skibmand";"SØF";"S"
"140";"skibsrustning";"SØF";"S"
"141";"skipper";"SØF";"S"
"142";"skive";"GAS;HÅN;SØF;HUS";"S"
"143";"skonfarsejl";"SØF";"S"
"144";"skonrog";"GAS;SØF";"S"
"145";"skrivén";"SØF";"S"
"146";"skude";"SØF";"S"
"147";"skuestage";"SØF";"S"
"148";"skæl";"SØF;DYR";"S"
"149";"skøre";"HÅN;SØF";"S"
"150";"slæb";"HAN;SØF;BEK";"S"
"151";"smide";"SØF";"S"
"152";"snekke";"SØF";"S"
"153";"spage";"SØF;GAS";"S"
"154";"spil";"HÅN;SØF";"S"
"155";"spir";"HÅN;SAM;SØF";"S"
"156";"spryd";"SØF";"S"
"157";"spryd";"SØF";"S"
"158";"sprydstagsejl";"SØF";"S"
"159";"stabelafløbning";"SØF";"S"
"160";"stag";"SØF";"S"
"161";"stangkrejer";"SØF";"S"
"162";"strudse";"SØF";"S"
"163";"stræde";"SAM;SØF";"S"
"164";"styr";"SAM;HAN;SØF";"S"
