"";"lemma";"tags";"ordklasse"
"1";"datum";"TID";"S"
"2";"dyring";"TID";"S"
"3";"forløb";"TID;RUM";"S"
"4";"forår";"TID";"S"
"5";"fyraften";"TID";"S"
"6";"hverdag";"TID";"S"
"7";"klokkestund";"TID";"S"
"8";"kvarter";"RUM;KVA;TID";"S"
"9";"langhilde";"TID";"S"
"10";"midnat";"TID";"S"
"11";"morgendag";"TID";"S"
"12";"plasning";"TID";"S"
"13";"sejer";"TID";"S"
"14";"sejerstund";"TID";"S"
"15";"skimring";"TID";"S"
"16";"skumring";"TID;HÅN";"S"
"17";"slagtemåned";"TID";"S"
"18";"slut";"HAN;TID";"S"
"19";"stund";"TID";"S"
"20";"stød";"HAN;FØL;TID";"S"
"21";"tingtid";"TID";"S"
"22";"trent";"RUM;TID";"S"
"23";"ur";"HÅN;TID";"S"
"24";"uår";"TID";"S"
"25";"vagt";"HAN;TID;MIL;SØF";"S"
"26";"vedage";"TID";"S"
"27";"øjeblik";"KRO;HAN;SAN;TID";"S"
