"";"lemma";"tags";"ordklasse"
"1";"afgrund";"VER";"S"
"2";"andeputte";"VER";"S"
"3";"blixen";"VER";"S"
"4";"boble";"VER";"S"
"5";"brink";"VER";"S"
"6";"brise";"VER";"S"
"7";"bugt";"VER";"S"
"8";"bynne";"VER";"S"
"9";"dising";"VER";"S"
"10";"dunder";"VER";"S"
"11";"ebbe";"VER";"S"
"12";"ejland";"VER";"S"
"13";"felt";"VER";"S"
"14";"fenne";"VER";"S"
"15";"flint";"VER";"S"
"16";"flintsten";"VER";"S"
"17";"flod";"VER";"S"
"18";"forhøjning";"VER";"S"
"19";"forstrand";"VER";"S"
"20";"fugt";"VER";"S"
"21";"fust";"VER";"S"
"22";"fyr";"VER;SØF";"S"
"23";"galm";"VER";"S"
"24";"grube";"VER;HÅN";"S"
"25";"grue";"HUS;VER";"S"
"26";"grus";"VER";"S"
"27";"grut";"VER;BIO";"S"
"28";"grøft";"VER";"S"
"29";"himmelstreg";"VER";"S"
"30";"høfde";"VER";"S"
"31";"kavl";"HÅN;VER";"S"
"32";"kejle";"VER";"S"
"33";"klint";"VER";"S"
"34";"klippe";"VER";"S"
"35";"klode";"VER";"S"
"36";"kløft";"VER;HÅN";"S"
"37";"kog";"VER";"S"
"38";"kol";"KRO;VER";"S"
"39";"kride";"VER";"S"
"40";"kridt";"VER";"S"
"41";"kulde";"VER";"S"
"42";"kule";"VER;SØF";"S"
"43";"kvalm";"VER;FØL";"S"
"44";"landskab";"VER;SAM";"S"
"45";"leding";"VER";"S"
"46";"luft";"VER";"S"
"47";"marsk";"VER";"S"
"48";"mor";"VER";"S"
"49";"morads";"VER";"S"
"50";"mudder";"VER";"S"
"51";"mug";"VER";"S"
"52";"oprør";"SAM;VER";"S"
"53";"ort";"VER;HÅN";"S"
"54";"ost";"VER;SØF";"S"
"55";"overflod";"KVA;VER";"S"
"56";"perle";"VER";"S"
"57";"plads";"SAM;VER";"S"
"58";"planet";"VER";"S"
"59";"plæk";"VER";"S"
"60";"pomissten";"VER;HÅN";"S"
"61";"prik";"HÅN;VER";"S"
"62";"prys";"VER";"S"
"63";"pudder";"VER;BEK;GAS";"S"
"64";"pukkel";"VER;DYR;KRO";"S"
"65";"pus";"VER";"S"
"66";"put";"VER";"S"
"67";"pøl";"VER";"S"
"68";"ras";"VER";"S"
"69";"rende";"VER;SØF";"S"
"70";"revir";"VER;SØF";"S"
"71";"romer";"VER";"S"
"72";"russer";"VER";"S"
"73";"rødsten";"VER;HÅN";"S"
"74";"rådne";"VER";"S"
"75";"sadde";"VER";"S"
"76";"saltsole";"VER";"S"
"77";"sanddune";"VER";"S"
"78";"sap";"VER";"S"
"79";"sasse";"VER";"S"
"80";"serpentine";"MIL;VER;HUS";"S"
"81";"sig";"VER;KVA";"S"
"82";"sil";"VER";"S"
"83";"singel";"VER";"S"
"84";"sjunk";"VER";"S"
"85";"skever";"VER";"S"
"86";"skeversten";"VER";"S"
"87";"skifer";"VER";"S"
"88";"slabberas";"VER;SAM";"S"
"89";"slagregn";"VER";"S"
"90";"slu";"VER;HÅN";"S"
"91";"smøg";"VER";"S"
"92";"sne";"VER";"S"
"93";"sod";"VER";"S"
"94";"sode";"VER";"S"
"95";"solvirrel";"VER";"S"
"96";"spinkel";"VER";"S"
"97";"splint";"VER";"S"
"98";"split";"RUM;VER";"S"
"99";"spring";"VER";"S"
"100";"stad";"VER;SAM";"S"
"101";"stavn";"JUR;VER";"S"
"102";"stenmarv";"VER";"S"
"103";"stillighed";"VER";"S"
"104";"stjerneskud";"VER";"S"
"105";"streg";"VER;RUM";"S"
"106";"stribe";"VER;RUM";"S"
"107";"strime";"VER;KRO";"S"
"108";"stråle";"VER;RUM";"S"
"109";"støv";"VER;BIO";"S"
"110";"sump";"VER";"S"
"111";"sund";"VER;SØF";"S"
"112";"suring";"VER";"S"
"113";"sus";"VER;BEV";"S"
"114";"svalm";"VER;KVA";"S"
"115";"svaring";"VER";"S"
"116";"svovl";"VER";"S"
"117";"sværke";"VER";"S"
"118";"syden";"VER";"S"
"119";"sylt";"VER";"S"
"120";"tarter";"VER";"S"
"121";"tilflåd";"VER";"S"
"122";"tin";"VER";"S"
"123";"tolv";"VER";"S"
"124";"trindel";"VER";"S"
"125";"turkeland";"VER";"S"
"126";"turkis";"VER";"S"
"127";"tvefoldighed";"VER";"S"
"128";"tyrk";"VER;REL";"S"
"129";"undergang";"BEV;HAN;SØF;VER";"S"
"130";"underlag";"VER";"S"
"131";"ustorm";"VER";"S"
"132";"vale";"VER";"S"
"133";"varp";"HAN;SØF;HÅN;VER";"S"
"134";"vederhage";"MIL;VER";"S"
"135";"vederlyd";"VER";"S"
"136";"vederskin";"VER";"S"
"137";"vegne";"VER";"S"
"138";"veksel";"HAN;BES;VER";"S"
"139";"vesten";"VER";"S"
"140";"vestfaler";"VER;GAS";"S"
"141";"vidde";"RUM;VER";"S"
"142";"vindfang";"HÅN;SØF;VER;HUS;BEK";"S"
"143";"vindvåge";"VER";"S"
"144";"vold";"MIL;VER";"S"
"145";"vove";"VER";"S"
"146";"værft";"VER;SØF";"S"
"147";"væsen";"KOG;VER;HAN";"S"
"148";"våg";"VER;SØF";"S"
"149";"våge";"VER;SØF";"S"
"150";"ædelsten";"VER";"S"
