lemma;tags;ordklasse
afbede;comet;V
affinde;NA;V
affærdige;NA;V
afgå;"swords;anchor";V
afhandle;NA;V
afhude;NA;V
afjage;NA;V
afkorte;"wheel;swords";V
aflade;NA;V
afmane;NA;V
afperse;NA;V
afside;NA;V
afskede;NA;V
afsnitte;NA;V
afsondre;NA;V
afstille;wheel;V
afstå;NA;V
aftinge;NA;V
agte;NA;V
ajle;NA;V
ample;NA;V
andrage;comet;V
anfalde;NA;V
anfare;NA;V
anfægte;NA;V
angive;NA;V
angribe;NA;V
angælde;NA;V
angå;NA;V
anholde;NA;V
anke;NA;V
anklage;jur;V
ankomme;trf;V
anlange;NA;V
anligge;anchor;V
anlægge;"byg;jur";V
anløbe;wheel;V
anmasse;NA;V
anmode;NA;V
anmærke;NA;V
annamme;NA;V
anrette;NA;V
anrøre;NA;V
anråbe;rel;V
anse;NA;V
ansige;NA;V
anslå;NA;V
anstikke;NA;V
anstille;NA;V
anstøde;NA;V
anstå;NA;V
ansætte;"erh;øko";V
ansøge;kom;V
antaste;NA;V
antræde;swords;V
antvorde;NA;V
anvise;kom;V
arbejde;NA;V
arge;NA;V
bagvaske;NA;V
baldre;NA;V
ballaste;anchor;V
bare;NA;V
bavse;NA;V
bebinde;NA;V
bebreve;NA;V
bebude;kom;V
bedrage;"kri;sex";V
bedre;NA;V
bedrive;"pol;vid";V
bedryppe;NA;V
bedrøve;NA;V
bedække;NA;V
bedåre;psy;V
befalde;NA;V
befale;"kom;mil";V
befatte;NA;V
befinde;NA;V
befrede;NA;V
befri;NA;V
befrygte;NA;V
befryse;NA;V
befænge;hel;V
befæste;swords;V
befæstige;NA;V
begabe;NA;V
bege;NA;V
begifte;NA;V
begive;"mercury;anchor";V
begrave;NA;V
begribe;NA;V
begræde;NA;V
begynde;erh;V
begære;jur;V
begå;kri;V
behage;NA;V
behandle;NA;V
behjælpe;NA;V
beholde;NA;V
behude;NA;V
behugge;wheel;V
behuse;NA;V
behytte;NA;V
behæfte;NA;V
behægte;NA;V
behænde;NA;V
behøre;NA;V
behøve;NA;V
bejage;NA;V
bejle;comet;V
bekende;"rel;spi";V
bekere;NA;V
beklaffe;NA;V
beklage;kom;V
beklemme;NA;V
beklæde;NA;V
beknibe;anchor;V
bekomme;NA;V
bekoste;NA;V
bekostning;NA;V
bekrybe;NA;V
bekræfte;"kom;jur;psy";V
bekvemme;NA;V
bekymre;psy;V
bekyndige;NA;V
bekøbe;NA;V
belade;NA;V
belange;NA;V
belaste;"øko;fys";V
bele;NA;V
belejre;mil;V
belemre;NA;V
beleve;NA;V
beligge;NA;V
belove;NA;V
belykke;NA;V
belyve;NA;V
belægge;"swords;anchor";V
belære;NA;V
beløbe;NA;V
belønne;NA;V
bemande;anchor;V
bemantle;NA;V
bemure;NA;V
bemægtige;NA;V
bemøde;NA;V
bemøje;NA;V
benove;NA;V
benægte;NA;V
benøje;NA;V
benåde;kri;V
beordre;scl;V
beplante;NA;V
bepligte;NA;V
beramme;jur;V
berede;"kom;psy";V
berende;"swords;comet";V
berette;kom;V
beride;NA;V
berige;øko;V
beringe;"swords;comet";V
berygte;NA;V
berømme;NA;V
berøre;"fyo;psy;kom";V
berøve;"kri;psy";V
beråbe;kom;V
beråde;NA;V
bese;NA;V
besegle;NA;V
besejle;søf;V
besidde;NA;V
besige;NA;V
besigtige;NA;V
besinde;NA;V
beskadige;mercury;V
beskaffe;NA;V
beskanse;NA;V
beskatte;ska;V
beskide;NA;V
beskikke;"oad;jur";V
beskrive;kom;V
beskue;NA;V
beskyde;våb;V
beskytte;jur;V
beskænke;nyd;V
beskære;"øko;bot;fot";V
beskærme;NA;V
beslutte;NA;V
beslå;sme;V
besmitte;"rel;sex";V
besnilde;NA;V
besolde;NA;V
bespare;NA;V
bespejde;NA;V
bespise;gas;V
bespy;NA;V
bespænde;swords;V
bespørge;NA;V
bestede;comet;V
bestemme;anchor;V
bestige;zoo;V
bestikke;jur;V
bestille;erh;V
bestolde;NA;V
bestride;"jur;erh;øko";V
bestrikke;NA;V
bestryge;mil;V
bestyre;NA;V
bestå;NA;V
besvige;NA;V
besvime;fyo;V
besvære;NA;V
besværge;rel;V
besætte;"mil;pol;rel";V
besøge;NA;V
besøle;NA;V
besørge;zoo;V
betage;psy;V
betakke;kom;V
betale;øko;V
betegne;"spr;kom";V
betinge;med;V
betragte;NA;V
betro;NA;V
betrykke;NA;V
betræde;comet;V
betrænge;NA;V
betvinge;NA;V
betyde;spr;V
betække;NA;V
betænke;psy;V
bevandre;NA;V
bevare;"rel;ark";V
bevende;comet;V
bevilge;øko;V
bevise;jur;V
bevæge;psy;V
bifalde;psy;V
bisse;NA;V
bistre;NA;V
bistå;"øko;kom";V
blabre;NA;V
blege;fish;V
blegne;"ana;med";V
blikke;"wheel;comet";V
blinke;NA;V
blive;"spr;øko";V
blokke;NA;V
blotte;swords;V
blødelse;NA;V
bole;NA;V
bolle;NA;V
bone;NA;V
borde;søf;V
borge;NA;V
brade;NA;V
brage;NA;V
brase;NA;V
braske;NA;V
brasse;NA;V
brille;"wheel;anchor;swords";V
bringe;kom;V
brovte;kom;V
bruge;NA;V
brumle;NA;V
brumme;spr;V
brunere;NA;V
bruse;hav;V
bryde;NA;V
brække;"med;hån";V
bræmme;NA;V
bue;NA;V
bukke;ana;V
buldre;NA;V
burde;NA;V
bydle;NA;V
byge;NA;V
bytte;NA;V
bæve;NA;V
bønhase;NA;V
bøsse;NA;V
både;NA;V
dagtinge;NA;V
dale;NA;V
danne;pæd;V
dejse;anchor;V
dele;"mat;edb";V
digte;lit;V
doble;NA;V
dogge;anchor;V
drage;"myt;lgg;spo;his;zoo";V
dreje;"spr;tel;pom;hån;han";V
drille;NA;V
driste;NA;V
dryppe;NA;V
drøve;NA;V
dugge;NA;V
dukke;NA;V
dundre;NA;V
dyppe;NA;V
dække;NA;V
dæmpe;fys;V
dærve;NA;V
døje;NA;V
døse;NA;V
dåre;NA;V
ebbe;NA;V
efterdrage;NA;V
ene;NA;V
entre;anchor;V
entride;NA;V
entvige;NA;V
erbarme;NA;V
erfare;NA;V
erkende;NA;V
erlægge;NA;V
ernære;NA;V
erobre;NA;V
erstatte;jur;V
ervise;NA;V
eventyre;NA;V
fade;NA;V
falske;NA;V
famle;comet;V
fange;NA;V
fare;NA;V
farve;NA;V
fatte;swords;V
fejde;NA;V
feje;"hyg;zoo";V
fejre;NA;V
fernisere;NA;V
ferske;wheel;V
file;anchor;V
fimre;NA;V
fire;hån;V
flage;NA;V
florere;NA;V
flunke;NA;V
fly;NA;V
flygte;NA;V
fodre;anchor;V
foragte;psy;V
forandre;anchor;V
forarbejde;"hån;psy";V
forarge;psy;V
forarme;NA;V
forbande;NA;V
forbarme;NA;V
forbavse;NA;V
forbede;NA;V
forbedre;NA;V
forbeholde;NA;V
forberge;NA;V
forbie;NA;V
forbinde;NA;V
forbistre;NA;V
forbitre;NA;V
forbjude;NA;V
forblinde;hel;V
forblive;NA;V
forblomme;NA;V
forblænde;NA;V
forbløde;med;V
forbløffe;NA;V
forbrede;NA;V
forbryde;"kri;jur";V
forbrænde;wheel;V
forbulne;NA;V
forbyde;NA;V
forbygge;anchor;V
forbytte;NA;V
fordele;NA;V
fordemme;NA;V
fordrage;NA;V
fordre;spades;V
fordrikke;NA;V
fordriste;NA;V
fordrive;NA;V
fordærve;bik;V
fordøje;med;V
fordømme;"kom;rel";V
fordøve;NA;V
