lemma;tags
Abbedi;
Abinde;
adre;
Advent;
afbede;comet
afbigt;
Afbræk;
Afbud;
affinde;
affældig;fyo
affældig;
affærdige;
Affærdige;
Afgrund;
Afgud;
Afguderi;
afgudisk;
Afgunst;
afgaa;"swords;anchor"
afhandle;
Afhandling;
Afhude;
Afjage;
afkorte;"wheel;swords"
aflad;rel
Aflad;comet
aflade;
Afmagt;comet
Afmane;
afmægtig;
Afperse;
Afside;
afsindig;
afsked;erh
Afsked;
afskede;
Afsnitte;
afsondre;
afspændig;
afstille;wheel
afstaa;
aftinge;
Aftræd;
Agerum;flower
agt;mil
Agt;"swords;comet"
agtbar;
agte;
agte;
agter;søf
agter;anchor
Agterstand;
Agtertanke;
-agtig;
Agting;
Agtning;
Ajle;
ak;
ak;
Akeleje;flower
al;
Alant;flower
Alderdom;
Aldermand;
alene;
alene;
allerede;
allerede;
alligevel;
alligevel;
Allike;
almisse;rel
Alrune;flower
alsted;
altid;
altid;comet
alting;spr
alting;
Alun;
alvor;psy
Alvor;
alvældig;
ambolt;"sme;ana"
Ambolt;
Amdam;
Ame;
ample;
amt;oad
Amt;
an;"swords;mercury"
An;
Andagteligen;
andel;scl
Andel;
Andel;
Andeputte;
andrage;comet
andrik;zoo
Andrik;
Andrik;
Andvord;
ane;fam
Ane;comet
anfald;"med;psy"
Anfald;
Anfald;
anfalde;
Anfare;
anfægte;
Angang;
Angel;"comet;wheel"
angelegen;
Angest;
angive;
Angreb;wheel
angribe;
Angst;
angælde;
angaa;
anhang;
Anhang;
anholde;
Anhær;
anke;
Anker;"anchor;wheel"
anklage;jur
anklage;
ankomme;trf
ankomme;
ankomst;trf
Ankomst;
anlange;
anligge;anchor
anlægge;"byg;jur"
anlægge;"anchor;mercury"
anløbe;wheel
anmasse;
anmode;
Anmærke;
annamme;
Anpart;
Anpart;
anrette;
Anrigter;
anrøre;
anråbe;rel
anraabe;swords
anse;
ansige;
ansigt;ana
Ansigt;
anskrig;kom
Anskrig;
Anskrig;
anslag;"msk;rad"
Anslag;"swords;wheel;music"
anslaa;
anstand;jur
Anstand;
anstikke;
anstille;
anstille;mercury
anstød;"rel;sex"
Anstød;
anstøde;
anstå;
anstaa;
ansætte;"erh;øko"
ansætte;"swords;anchor;wheel;music"
ansøge;kom
ansøge;
Antal;
Antal;
antaste;
Antaste;
Antræd;
antræde;swords
antvorde;
Anverper;wheel
anvise;kom
anvise;mercury
Anvise;
arbejde;"erh;fys;hån"
arbejde;"anchor;wheel;mercury"
Arbejde;"wheel;swords"
arge;
Ark;
Arkeli;"swords;anchor"
armbrøst;våb
Armbrøst;
armod;øko
Armod;
Armtøj;
Aron;
art;bio
Art;
Arvesaat;
avnbøg;bot
Avnbøg;flower
bagvaske;
Baj;mercury
bakke;bol
Bakke;
Bakkelse;
baldre;
Baldrian;flower
balg;våb
Balg;comet
balje;bol
Balje;anchor
Ball;
ballast;"tra;psy;jer;søf"
Ballast;"anchor;wheel"
Ballast;
ballaste;anchor
Ballaste;
Balle;"wheel;mercury"
Balle;
balstyrig;
balstyrisk;
bane;"trf;spo;nat;fri;jer"
bane;
bane;
Bane;wheel
bange;
Banner;swords
-bar;
Barat;
barber;frs
Barber;fish
barde;zoo
Barde;
bardus;
bardus;
bare;
bare;
Barfred;
Bark;
Barker;
barmhjertig;rel
barmhjertig;
Barnefod;
Barnsten;
bars;zoo
Barse;
Bart;
Bastert;
Basun;music
bavse;
be-;
be-;
Bean;
bebinde;
bebreve;
bebude;kom
bebude;
Bed;
bede;zoo
bede;
Bede;
Bede;
Bedrag;
bedrage;"kri;sex"
bedrage;
bedragelig;
bedre;
bedrift;"erh;lan"
Bedrift;
Bedring;
bedrive;"pol;vid"
bedrive;
bedryppe;
bedrøve;
bedrøve;
bedrøvelig;
Bedrøvelse;
bedrøvet;
Bedække;
Bedække;
bedåre;psy
Bedåre;
bedaare;
Befal;
befalde;
befale;"kom;mil"
befale;swords
Befaling;swords
befangen;
befatte;
befatte;
befinde;
befrede;
befri;
befri;
befrygte;
Befrynden;
befryse;
befænge;hel
befænge;
befæste;swords
befæstige;
beg;kem
Beg;mercury
begabe;
bege;
Begifte;
begive;"mercury;anchor"
begrave;
begreb;fil
Begreb;
begribe;
begribe;
begribelig;
begræde;
begynde;erh
begynde;
Begyndelse;
Begynder;
Begængelse;
begær;psy
Begær;mercury
begære;jur
begære;
Begæring;
begærlig;
begærlig;
begå;kri
begaa;comet
behag;psy
Behag;
behage;
behage;
behagelig;mercury
behandle;
Behjælp;
behjælpe;
behjælpelig;
behjælpelig;
behold;red
Behold;
beholde;
beholde;anchor
behov;
Behov;
behov;
behude;
behugge;wheel
behuse;
behytte;
behæfte;
Behægte;
behænde;
behændig;fyo
behændig;
Behør;
behøre;
behørig;
behørlig;
behøve;
behøvelig;
Behøvig;
Bejage;
bejle;comet
Bejtel;wheel
bekende;"rel;spi"
bekende;spades
Bekendelse;
bekendt;anchor
Bekere;
beklaffe;
beklage;kom
beklage;mercury
beklemme;
beklemmelse;psy
beklemmende;psy
beklemt;psy
beklæde;
beknibe;anchor
bekomme;
bekomme;comet
bekoste;
Bekostning;
bekrybe;
bekræfte;"kom;jur;psy"
bekræfte;"mercury;anchor"
bekvem;hav
bekvem;anchor
bekvemme;
bekvemmelig;
Bekymmer;comet
bekymre;psy
bekymre;
Bekymring;
Bekyndige;
bekøbe;
belade;
Belag;
belange;
belaste;"øko;fys"
belaste;"wheel;mercury"
bele;
belejlig;
belejre;mil
belejre;
belemre;
beleve;
Beleve;
beleven;
beligge;
Belob;
belove;
Belykke;
belyve;
belægge;"swords;anchor"
belære;
beløbe;
belønne;
bemande;anchor
bemantle;
bemure;
bemægtige;
bemægtige;comet
bemøde;
bemøje;
bemøje;
benove;
