afbigt	
affældig	fyo
aflad	rel
afsked	erh
agt	mil
agte	
agter	søf
ak	
alene	
allerede	
alligevel	
almisse	rel
altid	
alting	spr
alvor	psy
ambolt	sme;ana
amt	oad
andel	scl
andrik	zoo
ane	fam
anfald	med;psy
anhang	
anklage	jur
ankomme	trf
ankomst	trf
anlægge	byg;jur
anråbe	rel
ansigt	ana
anskrig	kom
anslag	msk;rad
anstand	jur
anstille	
anstød	rel;sex
ansætte	erh;øko
ansøge	kom
anvise	kom
arbejde	erh;fys;hån
armbrøst	våb
armod	øko
art	bio
avnbøg	bot
bakke	bol
balg	våb
balje	bol
ballast	tra;psy;jer;søf
balstyrisk	
bane	trf;spo;nat;fri;jer
bane	
bane	
barber	frs
barde	zoo
bardus	
bare	
barmhjertig	rel
bars	zoo
be-	
bebude	kom
bede	zoo
bedrage	kri;sex
bedrift	erh;lan
bedrive	pol;vid
bedrøve	
bedåre	psy
befale	kom;mil
befatte	
befænge	hel
beg	kem
begreb	fil
begribe	
begynde	erh
begær	psy
begære	jur
begærlig	
begå	kri
behag	psy
behjælpelig	
behold	red
beholde	
behov	
behændig	fyo
bekende	rel;spi
beklage	kom
beklemmelse	psy
beklemmende	psy
beklemt	psy
bekomme	
bekræfte	kom;jur;psy
bekvem	hav
bekymre	psy
belaste	øko;fys
belejre	mil
belemre	
bemægtige	
bemøje	
benåde	kri
beordre	scl
beramme	jur
berede	kom;psy
berette	kom
berige	øko
berøre	fyo;psy;kom
berøve	kri;psy
beråbe	kom
bese	
besegle	
besejle	søf
besidde	
besigtige	
beskaffen	
beskatte	ska
besked	kom;edb
beskidt	hyg;kri
beskikke	oad;jur
beskrive	kom
beskyde	våb
beskytte	jur
beskænke	nyd
beskære	øko;bot;fot
beskærme	
beslutte	
beslå	sme
besmitte	rel;sex
bespise	gas
bestige	zoo
bestikke	jur
bestille	erh
bestride	jur;erh;øko
bestryge	mil
bestyre	
besvige	
besvime	fyo
besværge	rel
besynderlig	
besætte	mil;pol;rel
besørge	zoo
betage	psy
betakke	kom
betale	øko
betegne	spr;kom
betids	
betinge	med
betragte	
betro	
betrængt	soc
betuttet	psy
betvinge	
betyde	spr
betænke	psy
bevare	rel;ark
bevilge	øko
bevise	jur
bevæge	psy
bifalde	psy
billig	øko;sex
bislag	ark
bismervægt	fsk
bistand	soc
bister	psy
bistå	øko;kom
bitte	mål
bitterlig	
blank	opt;fsk;typ;mil
blegne	ana;med
blik	mtl
blive	spr;øko
blok	gel;hån;byg;pap;pol;frm;tek
blokke	
blomme	bot
blot	
bodfærdig	rel
bog	bot
bogfinke	zoo
boghvede	bot
bold	
bole	sex
bolværk	hvn
bom	trf;spo;ski
borde	søf
borge	
borgmester	pol;oad
boulevard	trf
bovspryd	ski
brak	
brase	
brask	
bremse	aut
bringe	kom
brise	met
brok	med
brokfugl	zoo
brovte	kom
brug	
bruge	
brumme	spr
brumme	kri
bruse	hav
bryde	
brække	med;hån
bræmme	
bræmme	
brændevin	drk
bræt	tøm;spi;bol;tea
brøstfældig	ark
buddike	bot
bue	
bugt	geg
bukke	ana
bule	fyo
bule	
buntmager	skr
bussemand	hyg
bylt	
bytte	zoo
bækken	ana;sun;msk;gel
bærme	nyd;lan;scl
bæst	zoo
bøddel	
bør	tøj;hav
bøsse	våb;sex
både	
båke	hvn
chartek	
daddel	bot
dale	
danne	pæd
dannekvinde	
dannemand	
dejlig	
del	und;tek;mål
delagtig	
dele	mat;edb
desmerdyr	zoo
desmerurt	bot
digel	kem
digte	lit
dirk	
dog	
dok	ski;hvn
