Abbedi	
Abinde	
afbede	comet
Afbræk	
Afbud	
affinde	
affældig	
affærdige	
Afgrund	
Afgud	
Afguderi	
afgudisk	
Afgunst	
afgaa	swords;anchor
afhandle	
afkorte	wheel;swords
Aflad	comet
aflade	
Afmagt	comet
afmægtig	
Afside	
afsindig	
Afsked	
afskede	
afsondre	
afspændig	
afstille	wheel
afstaa	
aftinge	
Aftræd	
Agerum	flower
agtbar	
Agt	swords;comet
agte	
agter	anchor
Agterstand	
Agtertanke	
-agtig	
Ajle	
ak	
Akeleje	flower
al	
Alant	flower
Alderdom	
Aldermand	
alene	
allerede	
alligevel	
Alrune	flower
alsted	
altid	comet
alting	
Alun	
Alvor	
alvældig	
Ambolt	
Amdam	
Ame	
ample	
Amt	
Andel	
Andeputte	
andrage	comet
Andrik	
Ane	comet
Anfald	
anfalde	
anfægte	
Angel	comet;wheel
angelegen	
angive	
Angreb	wheel
angribe	
Angst	
angælde	
angaa	
Anhang	
anholde	
Anhær	
anke	
Anker	anchor;wheel
anklage	
ankomme	
Ankomst	
anlange	
anligge	anchor
anlægge	anchor;mercury
anløbe	wheel
anmasse	
anmode	
annamme	
Anpart	
anrette	
anrøre	
anraabe	swords
anse	
ansige	
Ansigt	
Anskrig	
Anslag	swords;wheel;music
anslaa	
Anstand	
anstikke	
anstille	mercury
Anstød	
anstøde	
anstaa	
an	swords;mercury
ansætte	swords;anchor;wheel;music
ansøge	
Antal	
antaste	
antræde	swords
antvorde	
Anverper	wheel
anvise	mercury
arbejde	anchor;wheel;mercury
Arbejde	wheel;swords
arge	
Ark	
Arkeli	swords;anchor
Armbrøst	
Armod	
Art	
Arvesaat	
Avnbøg	flower
bagvaske	
Baj	mercury
Bakke	
Bakkelse	
baldre	
Baldrian	flower
Balg	comet
Balje	anchor
Ballast	anchor;wheel
ballaste	anchor
Balle	wheel;mercury
balstyrig	
Bane	wheel
bange	
Banner	swords
-bar	
Barat	
Barber	fish
Barde	
bardus	
bare	
Barfred	
Bark	
Barker	
barmhjertig	
Barnefod	
Barse	
Basun	music
bavse	
be-	
Bean	
bebinde	
bebreve	
bebude	
Bed	
bede	
Bede	
Bedrag	
bedrage	
bedragelig	
bedre	
Bedrift	
Bedring	
bedrive	
bedryppe	
bedrøve	
bedrøvelig	
Bedrøvelse	
bedrøvet	
bedaare	
Befal	
befalde	
befale	swords
Befaling	swords
befangen	
befatte	
befinde	
befrede	
befri	
befri	
befrygte	
befryse	
befænge	
befæste	swords
befæstige	
begabe	
bege	
begive	mercury;anchor
Beg	mercury
begrave	
Begreb	
begribe	
begribelig	
begræde	
begynde	
Begyndelse	
Begynder	
Begængelse	
begære	
Begæring	
begærlig	
Begær	mercury
begaa	comet
Behag	
behage	
behagelig	mercury
behandle	
Behjælp	
behjælpe	
behjælpelig	
Behold	
beholde	anchor
Behov	
behov	
behude	
behugge	wheel
behuse	
behytte	
behæfte	
behænde	
behændig	
Behør	
behøre	
behørig	
behørlig	
behøve	
behøvelig	
bejle	comet
Bejtel	wheel
bekende	spades
Bekendelse	
bekendt	anchor
beklaffe	
beklage	mercury
beklemme	
beklæde	
beknibe	anchor
bekomme	comet
bekoste	
Bekostning	
bekrybe	
bekræfte	mercury;anchor
bekvem	anchor
bekvemme	
bekvemmelig	
Bekymmer	comet
bekymre	
Bekymring	
bekøbe	
belade	
belange	
belaste	wheel;mercury
bele	
belejlig	
belejre	
beleve	
beleven	
beligge	
belove	
belyve	
belægge	swords;anchor
belære	
beløbe	
belønne	
bemande	anchor
bemantle	
bemure	
bemægtige	comet
bemøde	
bemøje	
benove	
benægte	
benøje	
benaade	
beplante	
bepligte	
Beram	
beramme	
berede	
beredt	
berende	swords;comet
berette	
beride	
berige	
beringe	swords;comet
Berme	swords
Bernsten	
Bertram	flower
berygte	
Berøm	comet
berømme	
berøre	
berøve	
beraabe	
beraad	
Beraad	
beraade	
besat	
bese	
besegle	
besejle	anchor
besidde	
besige	
besinde	
beskadige	mercury
beskaffe	
beskanse	
beskatte	
Besked	comet
beskeden	
beskedenlig	
beskide	
beskikke	
beskrive	
beskue	
beskyde	swords
Beskyt	
beskytte	mercury;anchor
beskænke	
beskære	
beskærme	
beslutte	
beslægtet	music
beslægtiget	
beslaa	anchor
besmitte	
besnilde	
besolde	
bespare	
bespejde	
bespise	wheel
bespy	
bespænde	swords
bespørge	
Bestand	
bestandig	
bestede	comet
bestemme	anchor
bestige	
bestille	
Bestilling	
bestolde	
bestride	
bestrikke	
bestryge	swords
bestyre	anchor
bestaa	
besvige	
besvime	
Besvær	comet
besvære	
besværge	
besynderlig	
besætte	anchor;swords;spades;music
besøge	
besøle	
besørge	
betage	
betakke	
betale	mercury
betegne	
betids	
betinge	mercury
betragte	
betro	
Betryk	
betrykke	
betræde	comet
betrænge	
betvinge	comet
betyde	
betække	
betænke	
betænkelig	
bevandre	
bevant	
bevare	
bevare	
bevende	comet
bevilge	
Bevilling	
bevise	
bevislig	
bevæge	
bevægelig	
bevaagen	
bi	anchor
bifalde	comet
Bigat	anchor
Bikkel	
Bikke	wheel
Billede	spades
billig	
Bil	wheel;anchor
Bindike	
Bindsel	anchor
Bindt	
Bindøkse	wheel
Birk	
Bislag	
Bislopperske	
Bismer	
bisse	
bister	
bistre	
bistaa	
Bit	
Bitte	
bitter	
blabre	
blank	spades
Blege	fish
Blide	
blikke	wheel;comet
Blik	wheel
blinke	
blive	
Blok	anchor;wheel;spades;comet
blokke	comet
blot	
blotte	swords
Blus	anchor
Blyant	
Bly	
Blyglætte	
Blænker	swords
boble	
Boble	
bodfærdig	
Bog	
Bogfinke	bird
Boghvede	flower
bokse	
Bol	
bold	
bole	
Bole	
Bolle	
Bolle	wheel
Bolskab	
Bolt	anchor
Bolt	
Bolværk	
