lemma;tags;ordklasse
abbedi;REL;S
abinde;FAU;S
advent;REL;S
afbigt;SPR;S
afbræk;HAN;S
afbud;SPR;S
afgrund;VER;S
afgud;REL;S
afguderi;REL;S
afgunst;FØL;S
afhandling;SAM;S
aflad;REL;S
afmagt;FØL;S
afsked;SPR;S
aftræd;HAN;S
agerum;FLO;S
agt;SAN;S
agter;SØF;S
agterstand;BES;S
agtertanke;KOG;S
agtning;KOG;S
akeleje;FLO;S
alant;FLO;S
alderdom;KRO;S
aldermand;SAM;S
allike;FAU;S
almisse;REL;S
alrune;FLO;S
alun;HÅN;S
alvor;KOG;S
ambolt;HÅN;S
amdam;GAS;S
ame;KVA;S
amt;SAM;S
andel;BES;S
andeputte;VER;S
andrik;FAU;S
andvord;BES;S
ane;SLÆ;S
anfald;KRO;S
angang;HAN;S
angel;HÅN;S
angreb;MIL;S
angst;FØL;S
anhang;SAM;S
anhær;SLÆ;S
anker;SØF;S
ankomst;HAN;S
anpart;BES;S
anrigter;GAS;S
ansigt;KRO;S
anskrig;HAN;S
anslag;HAN;S
anstand;JUR;S
anstød;HAN;S
antal;KVA;S
antræd;HUS;S
anverper;HÅN;S
arbejde;HÅN;S
ark;SAM;S
arkeli;MIL;S
armbrøst;MIL;S
armod;BES;S
armtøj;MIL;S
aron;FLO;S
art;FAU;S
arvesåt;SAM;S
avnbøg;FLO;S
baj;BEK;S
bakke;SØF;S
bakkelse;GAS;S
baldrian;FLO;S
balg;MIL;S
balje;HÅN;S
ballast;SØF;S
balle;SØF;S
bane;BEV;S
banner;MIL;S
barat;BEK;S
barber;HÅN;S
barde;MIL;S
barfred;MIL;S
bark;FLO;S
barker;HÅN;S
barnefod;KOG;S
barnsten;SØF;S
bars;FAU;S
barse;SØF;S
bart;KRO;S
bastert;GAS;S
basun;MUS;S
bean;KRO;S
bed;HÅN;S
bede;FLO;S
bedrag;BES;S
bedrift;BES;S
bedring;KRO;S
bedrøvelse;FØL;S
befal;SAM;S
befaling;SAM;S
beg;HÅN;S
begreb;KOG;S
begyndelse;HAN;S
begynder;SAM;S
begængelse;HAN;S
begær;KOG;S
begæring;SAM;S
behag;KOG;S
behjælp;HAN;S
behold;KOG;S
behov;KOG;S
behør;SAM;S
bejtel;HÅN;S
bekendelse;SPR;S
beklemmelse;KOG;S
bekymmer;FØL;S
bekymring;FØL;S
belag;MIL;S
belob;RUM;S
beram;SAM;S
berggeselle;HÅN;S
berme;MIL;S
bernsten;SØF;S
bertram;FLO;S
berøm;SAM;S
beråd;KOG;S
besked;SPR;S
beskudding;SAM;S
beskyt;SAM;S
beslag;HÅN;S
bestand;SAM;S
bestilling;SAM;S
besvær;KOG;S
betryk;KOG;S
bevilling;SAM;S
bibel;REL;S
bigat;SØF;S
bigtpenge;BES;S
bikke;HÅN;S
bikkel;KRO;S
bil;HÅN;S
billede;MUS;S
bindike;HÅN;S
bindsel;SØF;S
bindt;HÅN;S
bindøkse;HÅN;S
birk;JUR;S
bislag;HUS;S
bislopperske;SAM;S
bismer;BES;S
bismervægt;BES;S
bistand;SAM;S
bit;KVA;S
bitte;KVA;S
bles;FAU;S
blide;MIL;S
blik;HÅN;S
blik;HAN;S
blixen;VER;S
blok;HÅN;S
blomme;FLO;S
blus;SØF;S
bly;HÅN;S
blyant;BEK;S
blyglætte;HÅN;S
blæne;KRO;S
blænker;MIL;S
boble;VER;S
bog;FLO;S
bogfinke;FAU;S
boghvede;FLO;S
bol;SAM;S
bole;SAM;S
bolskab;SAM;S
bolt;SØF;S
bolt;HÅN;S
bolværk;HÅN;S
bom;SAM;S
bommesi;BEK;S
bomolie;GAS;S
bomuld;BEK;S
bopæl;SAM;S
borg;BES;S
borgeleje;SAM;S
borger;SAM;S
borgerskab;SAM;S
borgerske;SAM;S
borgmester;SAM;S
bort;HÅN;S
boulevard;SAM;S
boveri;HAN;S
bovspryd;SØF;S
brad;GAS;S
bradbænk;SØF;S
bradspid;GAS;S
brage;HÅN;S
bram;FLO;S
bras;FØL;S
brase;HÅN;S
brasen;FAU;S
brask;FØL;S
bregne;FLO;S
bremse;HÅN;S
brik;HÅN;S
briks;HÅN;S
brink;VER;S
brise;VER;S
brist;HAN;S
brok;KRO;S
brokfugl;FAU;S
brombær;FLO;S
brosme;FAU;S
brug;SAM;S
brum;SPR;S
bry;GAS;S
bræk;HAN;S
bræmme;BEK;S
brændevin;GAS;S
bræt;HÅN;S
brøde;FØL;S
brødsukker;GAS;S
buddike;FLO;S
bugbid;KRO;S
bugspryd;SØF;S
bugt;VER;S
buksbom;FLO;S
bukse;BEK;S
bulder;HAN;S
bule;HAN;S
bumester;HÅN;S
bundt;KVA;S
buntmager;HÅN;S
bursprog;SAM;S
bussemand;KRO;S
busseskib;SØF;S
bylt;BEK;S
bynne;VER;S
byse;SØF;S
bytte;FAU;S
bægt;HAN;S
bækken;KRO;S
bære;HAN;S
bærme;SAM;S
bæst;FAU;S
bæver;FAU;S
bævergejl;FAU;S
bøddel;SAM;S
bøddele;SAM;S
bødker;HÅN;S
bøffel;FAU;S
bøje;SØF;S
bøjert;SØF;S
bønhas;SAM;S
bør;BEV;S
bøsse;MIL;S
bøssekrudt;MIL;S
bøssesten;MIL;S
bøtte;HÅN;S
både;HAN;S
bådsmand;SØF;S
båke;SØF;S
båre;MIL;S
celle;SAM;S
chartek;SAM;S
daddel;FLO;S
dagting;SAM;S
damask;BEK;S
dannekvinde;SAM;S
dannemand;SAM;S
dat;HAN;S
datum;TID;S
deger;KVA;S
del;KVA;S
desmer;FAU;S
desmerdyr;FAU;S
desmerurt;FLO;S
dialesalve;BEK;S
digegreve;SAM;S
digel;HÅN;S
digt;MUS;S
dirk;HÅN;S
dise;BEK;S
dising;VER;S
dobbe;FAU;S
dobbel;SAM;S
dok;SØF;S
dole;SAM;S
dollar;BES;S
dolslag;BEK;S
donkraft;HÅN;S
drabant;MIL;S
drager;SAM;S
dragesele;BEV;S
dragt;BEK;S
dranker;SAM;S
dressel;BES;S
drog;SAM;S
dromedar;FAU;S
drone;FAU;S
dros;KRO;S
drossel;FAU;S
drost;SAM;S
dru;GAS;S
drue;KVA;S
druebor;HÅN;S
drukkenbolt;SAM;S
drukkenskab;HAN;S
drummer;REL;S
drunk;HAN;S
dryp;HAN;S
dræk;HUS;S
dræksjung;SAM;S
drøvelse;FØL;S
dudendop;SAM;S
dug;HUS;S
dugt;SØF;S
dukke;HUS;S
dumrian;SAM;S
dunder;VER;S
dunk;HÅN;S
dunst;SAN;S
dup;HÅN;S
durik;FAU;S
dus;SAM;S
dusin;KVA;S
dvaledrik;GAS;S
dvælg;SØF;S
dvælg;HUS;S
dyring;TID;S
dyst;MIL;S
dyvel;HÅN;S
dække;HUS;S
dæksel;HÅN;S
dæle;HÅN;S
dødike;HÅN;S
dødslag;HAN;S
dørk;SØF;S
dørns;HUS;S
dørslag;HUS;S
dåb;REL;S
dåre;SAM;S
dårekiste;SAM;S
ebbe;VER;S
eddike;GAS;S
efterretning;SPR;S
ege;SØF;S
egt;KRO;S
ejendom;JUR;S
ejland;VER;S
elende;FØL;S
elfenben;HÅN;S
elm;FLO;S
embedsmand;SAM;S
endesked;SAM;S
endragt;SAM;S
enhjørning;FLO;S
enke;SLÆ;S
enspænder;SAM;S
es;KVA;S
es;FØL;S
eskadre;SØF;S
esping;SØF;S
esse;HUS;S
etmål;SØF;S
eventyr;HAN;S
evert;SØF;S
façon;HAN;S
fadder;REL;S
fadderskab;REL;S
fadderske;REL;S
fading;HÅN;S
fagte;HAN;S
faldbom;MIL;S
falk;FAU;S
falkeleje;FAU;S
