lemma;tags;ordklasse
abbedi;NA;S
abinde;NA;S
advent;NA;S
afbede;comet;V
afbigt;NA;S
afbræk;NA;S
afbud;NA;S
affinde;NA;V
affældig;fyo;A
affærdige;NA;V
afgrund;NA;S
afgud;NA;S
afguderi;NA;S
afgudisk;NA;A
afgunst;NA;S
afgå;"swords;anchor";V
afhandle;NA;V
afhandling;NA;S
afhude;NA;V
afjage;NA;V
afkorte;"wheel;swords";V
aflad;rel;S
aflade;NA;V
afmagt;comet;S
afmane;NA;V
afmægtig;NA;A
afperse;NA;V
afside;NA;V
afsindig;NA;A
afsked;erh;S
afskede;NA;V
afsnitte;NA;V
afsondre;NA;V
afspændig;NA;A
afstille;wheel;V
afstå;NA;V
aftinge;NA;V
aftræd;NA;S
agerum;flower;S
agt;mil;S
agtbar;NA;A
agte;NA;V
agter;søf;S
agterstand;NA;S
agtertanke;NA;S
#NAVN?;NA;SUF
agting;NA;S
agtning;NA;S
ajle;NA;V
ak;NA;I
akeleje;flower;S
al;NA;ADV
alant;flower;S
alderdom;NA;S
aldermand;NA;S
alene;NA;A
allerede;NA;ADV
alligevel;NA;ADV
allike;NA;S
almisse;rel;S
alrune;flower;S
alsted;NA;ADV
altid;NA;ADV
alting;spr;P
alun;NA;S
alvor;psy;S
alvældig;NA;A
ambolt;"sme;ana";S
amdam;NA;S
ame;NA;S
ample;NA;V
amt;oad;S
an;"swords;mercury";ADV
andagteligen;NA;ADV
andel;scl;S
andeputte;NA;S
andrage;comet;V
andrik;zoo;S
andvord;NA;S
ane;fam;S
anfald;"med;psy";S
anfalde;NA;V
anfare;NA;V
anfægte;NA;V
angang;NA;S
angel;"comet;wheel";S
angelegen;NA;A
angive;NA;V
angreb;wheel;S
angribe;NA;V
angst;NA;S
angælde;NA;V
angå;NA;V
anhang;NA;S
anholde;NA;V
anhær;NA;S
anke;NA;V
anker;"anchor;wheel";S
anklage;jur;V
ankomme;trf;V
ankomst;trf;S
anlange;NA;V
anligge;anchor;V
anlægge;"byg;jur";V
anløbe;wheel;V
anmasse;NA;V
anmode;NA;V
anmærke;NA;V
annamme;NA;V
anpart;NA;S
anrette;NA;V
anrigter;NA;S
anrøre;NA;V
anråbe;rel;V
anse;NA;V
ansige;NA;V
ansigt;ana;S
anskrig;kom;S
anslag;"msk;rad";S
anslå;NA;V
anstand;jur;S
anstikke;NA;V
anstille;NA;V
anstød;"rel;sex";S
anstøde;NA;V
anstå;NA;V
ansætte;"erh;øko";V
ansøge;kom;V
antal;NA;S
antaste;NA;V
antræd;NA;S
antræde;swords;V
antvorde;NA;V
anverper;wheel;S
anvise;kom;V
arbejde;"erh;fys;hån";S
arbejde;NA;V
arge;NA;V
ark;NA;S
arkeli;"swords;anchor";S
armbrøst;våb;S
armod;øko;S
armtøj;NA;S
aron;NA;S
art;bio;S
arvesåt;NA;S
avnbøg;bot;S
bagvaske;NA;V
baj;mercury;S
bakke;bol;S
bakkelse;NA;S
baldre;NA;V
baldrian;flower;S
balg;våb;S
balje;bol;S
ballast;"tra;psy;jer;søf";S
ballaste;anchor;V
balle;"wheel;mercury";S
balstyrig;NA;A
balstyrisk;NA;A
bane;"trf;spo;nat;fri;jer";S
bange;NA;A
banner;swords;S
#NAVN?;NA;SUF
barat;NA;S
barber;frs;S
barde;zoo;S
bare;NA;V
barfred;NA;S
bark;NA;S
barker;NA;S
barmhjertig;rel;A
barnefod;NA;S
barnsten;NA;S
bars;zoo;S
barse;NA;S
bart;NA;S
bastert;NA;S
basun;music;S
bavse;NA;V
be-;NA;PRÆ
bean;NA;S
bebinde;NA;V
bebreve;NA;V
bebude;kom;V
bed;NA;S
bede;zoo;S
bedrag;NA;S
bedrage;"kri;sex";V
bedragelig;NA;A
bedre;NA;V
bedrift;"erh;lan";S
bedring;NA;S
bedrive;"pol;vid";V
bedryppe;NA;V
bedrøve;NA;V
bedrøvelig;NA;A
bedrøvelse;NA;S
bedrøvet;NA;A
bedække;NA;V
